ExcTableExport[][0],ExcTableExport[][1],ExcTableExport[][2]
159.972,4.19331,179.773
171.583,4.54275,179.773
175.129,2.2974,179.773
174.648,2.3197,179.773
178.538,0.624535,179.773
165.258,1.8513,179.773
165.258,2.11896,179.773
164.463,1.84387,179.773
164.463,0.750929,179.773
162.606,1.01115,179.773
165.018,0.520446,179.773
165.768,0.795539,179.773
169.556,0.736059,179.773
170.351,0.72119,179.773
166.759,1.02602,179.773
170.351,0.765799,179.773
162.776,1.13011,179.773
161.955,0.750929,179.773
156.355,1.39033,179.773
159.151,1.83643,179.773
168.52,1.63569,179.773
154.331,1.14498,179.773
152.689,0.669145,179.773
151.653,1.04089,179.773
148.975,0.773234,179.773
145.52,3.10781,179.773
144.048,1.60595,179.773
144.048,0.69145,179.773
142.306,1.11524,179.773
135.564,1.85874,179.773
139.333,2.1487,179.773
134.502,1.18216,179.773
135.974,0.959108,179.773
139.503,0.624535,179.773
137.857,0.929368,179.773
132.616,0.795539,179.773
131.285,1.52416,179.773
127.586,0.765799,179.773
128.096,1.15242,179.773
126.21,2.20074,179.773
125.149,2.88476,179.773
125.319,1.36059,179.773
126.21,0.728625,179.773
126.935,1.68773,179.773
126.935,1.00372,179.773
121.131,1.72491,179.773
121.852,1.79926,179.773
120.65,1.12268,179.773
117.32,0.66171,179.773
114.402,1.79926,179.773
113.199,2.48327,179.773
111.897,0.877323,179.773
110.21,0.572491,179.773
108.113,0.847584,179.773
107.872,0.832714,179.773
109.63,1.5539,179.773
108.353,1.14498,179.773
104.156,2.02974,179.773
104.156,1.44238,179.773
103.915,1.81413,179.773
102.443,2.31227,179.773
101.792,2.10409,179.773
98.4684,1.83643,179.773
101.792,2.75093,179.773
97.5064,1.58364,179.773
96.7849,3.33829,179.773
96.6148,3.09294,179.773
95.3652,1.63569,179.773
86.7031,1.80669,179.773
86.7031,1.46468,179.773
86.7031,1.98513,179.773
93.2711,2.66914,179.773
89.1543,1.30112,179.773
85.571,3.13011,179.773
86.052,1.42007,179.773
90.7373,0.624535,179.773
90.7373,1.24907,179.773
82.0014,1.0855,179.773
79.8781,1.98513,179.773
82.9668,0.862454,179.773
77.6844,1.30112,179.773
72.3608,0.66171,179.773
65.1719,0.981413,179.773
65.0019,1.7026,179.773
63.4825,1.52416,179.773
65.1719,1.48699,179.773
62.1512,3.47955,179.773
59.4474,2.28253,179.773
58.9664,0.840149,179.773
57.6642,0.840149,179.773
56.2917,0.944238,179.773
51.8338,0.438662,179.773
46.2663,1.93309,179.773
45.7115,1.84387,179.773
47.3984,1.37546,179.773
42.4528,0.639405,179.773
48.0495,0.869888,179.773
