ExcTableExport[][0],ExcTableExport[][1],ExcTableExport[][2]
11.582,1.02451,187
12.8622,0.886864,187
14.6728,1,187
17.3408,1.83532,187
16.2521,1.21245,187
18.1585,0.790069,187
18.9762,0.615336,187
21.122,1.21245,187
20.4679,0.69516,187
25.9507,0.650534,187
24.3203,1.12445,187
21.9794,0.840352,187
27.5031,0.746072,187
33.0753,0.572596,187
37.6696,1.75801,187
44.0378,1.62539,187
42.6699,0.67819,187
53.236,0.91829,187
51.9359,1.59208,187
60.8689,0.483344,187
55.5769,0.578253,187
74.1741,0.776241,187
67.3653,0.527341,187
73.648,0.642992,187
83.5026,1.37838,187
78.691,0.478316,187
74.3376,0.627907,187
70.3874,0.624764,187
84.9184,0.485229,187
80.8851,0.504085,187
86.1507,0.546826,187
55.1342,1.2225,187
54.209,0.584538,187
56.5655,0.813953,187
94.4593,1.59774,187
92.6373,0.490258,187
86.0351,0.507857,187
94.4593,0.711502,187
101.958,0.462602,187
105.44,0.587681,187
101.795,0.979258,187
90.859,1.23821,187
0,1.57951,187
8.69433,0.791326,187
5.82655,0.705845,187
104.786,0.544312,187
106.373,0.621622,187
108.758,0.748586,187
112.028,0.621622,187
114.428,0.946574,187
109.268,0.920805,187
116.78,1.87115,187
117.829,1.35575,187
120.942,1.14582,187
135.18,1.89189,187
136.232,2.47203,187
145.627,2.57385,187
146.791,1.50471,187
152.582,2.57385,187
149.81,2.19925,187
154.692,1.0704,187
162.421,2.2445,187
155.346,0.908862,187
151.437,1.49277,187
165.644,2.57385,187
162.912,1.00943,187
162.258,1.01194,187
167.339,2.57385,187
175.337,2.57385,187
184.266,1.60717,187
185.071,2.44123,187
186.419,0.900063,187
177.131,2.00629,187
168.611,1.39158,187
166.569,2.0484,187
173.233,1.57888,187
173.759,1.85167,187
168.611,1.74544,187
182.404,2.39723,187
182.404,0.856694,187
126.986,1.17725,187
