ExcTableExport[][0],ExcTableExport[][1],ExcTableExport[][2]
2.35732,1.1603,138
6.45747,1.34793,138
9.72829,0.738315,138
11.6347,1.29526,138
7.7658,0.878868,138
14.0597,0.945359,138
17.1109,1.10533,138
0.817705,0.684332,138
14.6379,0.844964,138
17.9484,1.34793,138
22.8612,1.34793,138
25.4977,1.34793,138
12.7316,0.670836,138
16.2932,0.99605,138
20.4163,1.30184,138
12.568,0.50395,138
17.2265,0.704411,138
21.3497,0.947992,138
19.5788,1.3239,138
20.2528,1.1738,138
19.6944,0.886438,138
15.639,0.723831,138
28.5769,1.34793,138
29.4301,1.24424,138
33.6093,1,138
26.9894,0.709348,138
31.1687,0.573074,138
27.1051,0.957538,138
34.4469,0.768598,138
31.9864,0.705727,138
36.1699,1.21165,138
39.9149,1.18433,138
42.4953,1.2133,138
43.4765,0.556616,138
37.5939,1.12541,138
40.0305,0.706386,138
37.1511,0.876893,138
42.4953,1.2133,138
46.5152,0.971034,138
49.9994,0.801514,138
50.6734,0.55135,138
55.1038,0.650428,138
60.0832,0.840026,138
62.1605,0.742265,138
60.0832,0.906517,138
63.2293,1.14615,138
67.9108,1.34793,138
57.3049,0.4842,138
53.8235,0.44075,138
66.344,1.27354,138
68.9516,1.34793,138
64.5451,1.14417,138
62.8824,0.899934,138
67.0378,1.17972,138
64.1502,1.08328,138
72.7726,1.34793,138
73.8091,1.24753,138
73.9248,0.873272,138
70.1361,0.548387,138
74.4831,0.770244,138
74.6467,1.34793,138
79.0458,0.634628,138
79.8355,1.12574,138
82.3158,0.889072,138
78.9302,1.34793,138
78.6989,1.00099,138
87.7796,1.34793,138
91.8829,1.34793,138
85.3826,1.34793,138
86.5274,1.31172,138
95.9507,1.34793,138
83.8075,0.715932,138
84.2982,1.34793,138
89.3067,1.34793,138
90.7662,1.03884,138
94.7986,1.24194,138
94.1246,0.982883,138
91.5558,1.03489,138
95.8351,0.929888,138
102.627,0.905859,138
109.278,1.34793,138
102.164,1.34793,138
105.331,1.34793,138
103.608,0.906847,138
98.4914,0.714944,138
100.441,1.06682,138
99.4602,0.504279,138
104.262,1.08032,138
109.442,0.848914,138
116.736,1.34793,138
117.506,1.34793,138
115.58,1.27814,138
121.182,1.34793,138
111.723,1.23074,138
116.736,0.80316,138
116.9,0.89763,138
128.647,1.34793,138
123.431,1.29592,138
124.683,0.563199,138
129.732,0.948321,138
126.625,0.669519,138
127.838,0.825872,138
132.184,0.857472,138
132.675,1.19552,138
134.445,0.614878,138
137.321,0.552337,138
