ExcTableExport[][0],ExcTableExport[][1],ExcTableExport[][2]
2.75828,0.64375,166
9.90819,0.719583,166
29.4853,0.7375,166
30.6417,0.87875,166
37.3526,1.61917,166
39.6242,1.21917,166
41.2712,0.902917,166
40.7806,0.70125,166
42.312,0.760833,166
45.654,1.12375,166
46.2322,1.36375,166
41.5025,0.803333,166
33.696,0.847917,166
36.1004,0.779583,166
42.8902,0.59625,166
44.7685,0.776667,166
49.5815,1.22417,166
50.9494,0.808333,166
49.9086,0.971667,166
46.2322,0.7225,166
48.1459,0.762917,166
48.1459,0.618333,166
55.6904,0.835,166
57.9355,0.9775,166
47.6834,0.845833,166
50.6025,0.850417,166
48.4929,1.39833,166
49.9086,0.635833,166
51.9902,0.731667,166
53.2381,1.58917,166
55.1998,1.50125,166
55.1998,0.6625,166
56.4322,1.33333,166
56.0852,1.06125,166
59.3711,0.958333,166
58.3981,0.556667,166
57.3573,0.553333,166
62.0473,0.909583,166
61.0941,0.84,166
63.088,0.2925,166
62.6255,0.300417,166
62.1629,0.2675,166
71.8149,1.05167,166
71.9785,1.31667,166
71.8149,1.005,166
73.115,1.525,166
74.5787,1.34958,166
78.7964,1.70625,166
78.2182,1.0375,166
77.6119,1.02792,166
69.7742,0.682917,166
73.3463,0.943333,166
74.0005,1.035,166
75.0919,1.50708,166
76.89,1.4475,166
75.4388,0.68875,166
81.3445,1.70625,166
79.2391,1.09917,166
83.426,1.05875,166
84.4625,0.81,166
84.5782,1.10333,166
84.7417,1.64375,166
83.9521,1.10125,166
88.4504,1.70625,166
86.5242,1.04917,166
85.3199,0.96875,166
90.935,1.43125,166
90.1173,1.63042,166
92.0237,1.43583,166
87.3337,0.85,166
88.7974,0.85625,166
93.6228,1.34292,166
96.9804,1.49958,166
102.045,1.18458,166
104.872,1.2175,166
107.132,1.03333,166
95.0187,1.44833,166
93.1603,0.9825,166
93.3915,0.874583,166
99.1056,0.84625,166
100.725,1.23333,166
101.235,1.03625,166
100.031,1.12125,166
102.603,1.25083,166
102.324,1.0225,166
104.525,0.585417,166
114.7,1.23458,166
107.017,1.47792,166
110.454,0.454167,166
105.103,0.6575,166
108.843,0.95875,166
108.843,0.95875,166
123.624,0.92125,166
124.896,1.11667,166
125.475,0.938333,166
126.197,1.02917,166
118.668,1.58583,166
118.783,0.838333,166
111.108,0.677083,166
113.775,1.3175,166
113.248,0.785,166
117.627,1.01667,166
118.321,0.778333,166
116.809,1.16542,166
120.638,1.33417,166
124.55,1.37292,166
124.203,1.27625,166
122.468,0.68375,166
132.775,1.50958,166
128.206,1.05083,166
138.859,1.3725,166
131.209,1.01042,166
123.74,0.687917,166
131.209,1.12458,166
125.706,0.759583,166
128.322,0.972917,166
136.168,1.29458,166
138.117,1.69042,166
134.953,1.19292,166
138.117,0.445417,166
139.322,1.59875,166
142.252,1.49792,166
144.158,0.9425,166
147.668,1.6225,166
140.195,1.02208,166
143.995,0.995,166
143.07,1.15333,166
150.914,1.43333,166
145.997,0.6125,166
156.377,1.70625,166
161.414,1.5075,166
162.973,1.3825,166
153.617,1.51708,166
150.451,0.75625,166
148.477,0.571667,166
148.477,0.855417,166
152.35,0.715,166
155.041,0.901667,166
156.868,1.01292,166
149.431,0.76375,166
159.025,0.8675,166
158.563,0.93375,166
160.162,0.625833,166
159.42,0.900833,166
164.629,0.953333,166
165.785,1.19,166
155.041,0.697917,166
155.62,0.808333,166
