ExcTableExport[][0],ExcTableExport[][1],ExcTableExport[][2]
0.578205,0.458782,104
4.04677,0.623956,104
5.76976,0.588432,104
7.93548,0.592986,104
10.3158,0.673448,104
11.1253,0.417489,104
15.9193,1.19508,104
12.2222,0.652497,104
13.8015,0.43176,104
16.5454,0.738121,104
14.7827,0.476393,104
19.3174,0.77152,104
32.7501,1.24336,104
33.5877,1.24336,104
24.7936,1.22332,104
21.559,0.874753,104
24.63,0.509792,104
25.304,0.84348,104
26.9395,0.820404,104
22.6559,1.07363,104
17.9413,0.603917,104
20.0872,0.887202,104
29.7395,1.05966,104
32.7501,1.00714,104
21.7226,0.745408,104
41.4632,1.24336,104
39.0506,1.24336,104
23.1465,0.755731,104
24.7936,1.1128,104
42.8112,1.08669,104
37.5994,0.768483,104
48.0587,0.957644,104
47.2013,0.29452,104
48.8682,0.862001,104
60.7485,1.20632,104
54.2957,1.24336,104
52.0226,1.24336,104
63.0571,1.24336,104
61.6059,1.24336,104
60.0589,1.24336,104
58.8546,0.396842,104
0.578205,0.458782,104
49.5422,0.992865,104
45.0719,0.549871,104
66.8854,1.08881,104
55.9638,0.858661,104
67.1167,1.24336,104
68.1376,1.19174,104
70.9692,1.24336,104
72.8078,1.24336,104
72.4807,1.16502,104
73.2505,1.09397,104
79.5923,1.24336,104
79.9872,0.415364,104
76.0506,0.680128,104
76.9839,1.01716,104
83.8478,1.24336,104
81.132,0.990739,104
84.0114,0.930014,104
89.9299,1.24336,104
85.0521,1.11007,104
90.855,1.24336,104
92.5978,1.24336,104
91.9238,1.16684,104
