InhTableExport[][0],InhTableExport[][1],InhTableExport[][2]
0,1.32782,142
0,1.32782,142
0,1.32782,142
7.191,0.909533,142
12.5862,0.963359,142
33.5447,1.32782,142
34.0552,1.18969,142
41.8358,1.32782,142
50.1739,0.882296,142
52.2718,1.28307,142
58.276,0.458171,142
58.6229,1,142
76.7678,0.414397,142
74.4187,0.234112,142
83.6855,1.32782,142
85.4241,0.991894,142
87.7129,1.32782,142
90.7161,0.318093,142
99.5715,1.32782,142
101.221,0.292802,142
109.067,0.214656,142
109.067,0.244163,142
109.067,1.32782,142
