ExcTableExport[][0],ExcTableExport[][1],ExcTableExport[][2]
1.98972,0.959294,152
6.81807,0.830799,152
6.70242,0.66307,152
4.37002,0.51692,152
9.51409,0.666994,152
11.7433,0.854831,152
16.1087,0.60716,152
16.3879,0.540461,152
0,0.683668,152
17.6681,1.22217,152
19.1995,0.575282,152
19.6422,0.954389,152
20.6632,1.23001,152
22.64,1.11869,152
24.4308,1.41932,152
30.49,1.61206,152
28.142,0.762629,152
28.7482,0.507602,152
36.7427,0.790584,152
37.0698,0.6513,152
39.6012,0.885238,152
41.5753,1.10544,152
39.7168,0.97744,152
43.7764,1.10495,152
47.2026,1.89505,152
48.4151,1.09711,152
52.2871,1.79892,152
54.0327,1.21775,152
50.385,0.834232,152
47.8567,1.06474,152
56.4172,1.44973,152
55.8912,2.00834,152
60.5769,1.2972,152
62.0631,1.69544,152
66.0873,1.63266,152
58.9976,0.660618,152
65.9717,0.980383,152
69.8,1.13928,152
71.7262,1.00539,152
72.8149,0.774399,152
75.2151,1.42619,152
76.8256,1.33448,152
77.6631,0.881805,152
79.1649,1.11967,152
79.9744,0.824424,152
82.9173,1.35704,152
86.7839,0.929377,152
86.7839,0.710642,152
86.7839,0.743011,152
93.6135,0.588524,152
99.2634,1.09711,152
92.4458,1.10692,152
93.0875,0.775871,152
97.6814,0.761157,152
100.033,0.814615,152
101.122,0.580677,152
102.466,1.15988,152
104.651,1.05542,152
105.652,1.28004,152
107.845,1.15007,152
109.54,0.656694,152
109.867,0.711133,152
112.407,0.590976,152
112.06,0.884257,152
112.06,0.884257,152
111.087,1.08583,152
113.293,1.01226,152
115.007,0.956351,152
114.381,1.38254,152
115.171,1.88818,152
115.45,1.14272,152
118.053,0.70819,152
118.914,1.64836,152
118.914,0.937715,152
119.723,1.41442,152
120.468,0.796959,152
123.134,1.91123,152
124.135,1.05395,152
127.357,0.901422,152
125.666,1.30358,152
129.985,1.04365,152
130.64,2.00834,152
132.335,0.799902,152
134.058,1.33791,152
132.989,1.31584,152
131.545,1.38597,152
134.875,1.0515,152
135.318,2.00834,152
136.598,1.39872,152
139.314,1.77489,152
142.891,1.06278,152
142.381,0.800392,152
143.845,1.87445,152
144.499,2.00834,152
150.129,0.712114,152
140.658,1.205,152
146.632,0.79745,152
151.948,0.996077,152
148.977,0.701324,152
146.189,1.68269,152
151.948,0.611084,152
151.948,2.00834,152
151.948,0.620402,152
145.663,1.56547,152
78.1763,0.933791,152
68.9905,1.00392,152
70.474,0.601275,152
68.4801,0.426189,152
67.7582,0.785189,152
64.3643,0.743502,152
63.8737,1.00638,152
49.7308,0.857283,152
35.0843,0.522805,152
13.1548,0.656694,152
