InhTableExport[][0],InhTableExport[][1],InhTableExport[][2]
2.12944,1.23615,132
7.54871,1.17463,132
8.75302,0.235002,132
12.8566,0.919755,132
15.1099,1.08521,132
21.223,0.602216,132
25.4255,1,132
32.5226,1.56477,132
32.6861,1.56477,132
30.0182,1.37142,132
50.9885,0.742071,132
37.9501,0.770348,132
49.9676,1.56477,132
55.5827,0.216278,132
70.4878,1.56477,132
69.9774,0.604509,132
73.3871,1.56477,132
78.1803,0.755445,132
92.2677,1.56477,132
112.204,1.56477,132
108.723,1.38861,132
131.862,0.418418,132
17.9893,0.250669,132
10.9105,0.252961,132
5.90167,0.204433,132
