InhTableExport[][0],InhTableExport[][1],InhTableExport[][2]
145.702,0.697842,155.706
137.812,0.765787,155.706
131.904,0.584732,155.706
116.372,1,155.706
106.725,1.23421,155.706
91.531,1.63669,155.706
66.0023,0.910871,155.706
62.7728,1.39369,155.706
38.2226,0.924061,155.706
45.8876,1.63669,155.706
19.3875,1.40727,155.706
14.4899,1.16707,155.706
6.73213,1.01998,155.706
1.54602,0.997602,155.706
