ExcTableExport[][0],ExcTableExport[][1],ExcTableExport[][2]
16.2007,1.47059,132
14.7569,1.57936,132
17.5487,0.851276,132
19.7774,1.01054,132
20.6827,1.21698,132
19.0356,0.902886,132
23.3676,0.735294,132
22.2373,0.799112,132
23.7145,0.696448,132
23.7145,0.617092,132
27.3343,0.538846,132
25.0379,0.584906,132
125.781,1.05105,132
125.155,1.12542,132
125.318,0.701443,132
127.157,0.871809,132
127.157,0.988346,132
124.538,1.24972,132
125.781,0.896781,132
122.987,1.82297,132
123.266,1.42675,132
120.39,1.79412,132
120.832,1.01165,132
120.39,1.2131,132
116.558,0.95061,132
119.07,1.15705,132
119.532,0.874029,132
117.763,0.807436,132
115.749,1.01998,132
117.647,0.993896,132
114.477,1.0283,132
113.755,1.81853,132
115.98,0.859046,132
115.055,0.970033,132
114.246,0.755272,132
114.082,0.762486,132
111.064,1.29467,132
107.609,0.873474,132
109.124,2.00111,132
109.24,0.678135,132
109.124,1.55827,132
107.609,1.62264,132
104.546,1.59434,132
105.75,1.35738,132
99.8223,1.1626,132
103.525,1.45838,132
105.172,0.789678,132
105.634,0.928413,132
108.623,0.854606,132
104.546,0.77081,132
103.852,0.842397,132
99.3215,0.947836,132
95.1319,1.96504,132
95.9893,1.65871,132
101.759,1.82297,132
97.6266,1.2081,132
93.5391,1.86626,132
101.245,0.838513,132
101.081,0.928968,132
97.9537,1.08546,132
90.6775,0.711432,132
90.6775,1.22642,132
90.2826,0.950055,132
99.0424,0.713651,132
95.9893,1.01887,132
93.5391,0.980022,132
90.5618,0.938402,132
96.3362,1.42453,132
89.7044,0.657048,132
89.2419,0.672586,132
88.3845,1.08491,132
88.0574,1.06604,132
88.9627,0.692009,132
85.5757,1.87458,132
82.9852,1.15982,132
83.8029,1.37236,132
81.6174,1.10932,132
84.7281,0.856826,132
85.5757,0.797447,132
84.6124,1.03496,132
82.8696,1.25028,132
80.8079,0.935072,132
81.8487,0.811321,132
77.6144,2.13319,132
76.6413,1.19922,132
81.1548,0.872364,132
79.3374,1.50832,132
77.9415,0.947836,132
75.7361,1.15927,132
75.8996,1.8929,132
74.9266,1.59046,132
74.6953,1.30799,132
76.4101,0.717536,132
73.2597,1.7919,132
68.5896,1.66593,132
71.9993,1.47114,132
72.442,1.48613,132
72.9326,1.35516,132
74.5797,0.863485,132
73.9535,0.745838,132
72.1628,1.16315,132
68.5896,1.72586,132
66.9904,1.78468,132
66.9904,1.28524,132
70.8148,0.943396,132
69.7939,0.981687,132
67.6165,1.02386,132
64.2677,1.15372,132
64.2677,1.67647,132
73.3753,0.948391,132
69.1678,1.31576,132
62.7048,1.65649,132
67.1061,1.02109,132
65.0094,0.981132,132
67.7801,0.936737,132
64.2677,1.27691,132
61.3849,1.19645,132
63.1954,0.826859,132
60.4597,1.96337,132
60.2962,1.12597,132
61.3849,0.879578,132
62.2423,0.868479,132
58.3467,1.91953,132
61.5484,0.809656,132
60.4597,0.729745,132
57.6015,0.881243,132
55.9347,1.35239,132
55.5877,0.976693,132
52.2521,1.23418,132
53.273,0.876249,132
52.2521,1.07436,132
51.7382,0.961154,132
53.6678,1,132
49.0387,1.30744,132
49.2023,0.897336,132
49.7805,0.928413,132
48.5248,1.10599,132
50.1274,0.790788,132
49.0387,1.30522,132
47.4279,0.854051,132
47.2644,1.15483,132
45.7693,1.08546,132
47.2644,1.07214,132
44.0907,0.972253,132
44.4856,0.950055,132
42.5114,1.24639,132
43.4366,0.941731,132
43.4366,1.6737,132
41.4426,0.937292,132
39.7723,0.973918,132
40.1192,0.792453,132
39.4254,0.744173,132
33.8383,1.66648,132
37.7783,1.56382,132
38.1054,0.910655,132
35.7762,1.17037,132
38.4524,1.53829,132
34.281,1.202,132
36.0075,0.885683,132
31.0232,1.20089,132
36.6336,0.5899,132
29.8189,0.841842,132
29.3563,1.10932,132
32.1598,0.73141,132
29.0094,0.690344,132
23.3676,0.799667,132
26.4092,0.800777,132
25.5518,0.63818,132
14.7569,0.876249,132
1.09689,0.731964,132
5.59737,0.709212,132
6.62517,0.733629,132
11.922,0.823529,132
19.4305,1.01665,132
35.7762,0.779134,132
