 ,Min1,Max1,X1,Y1,Min2,Max2,X2,Y2,Min3,Max3,X3,Y3,Min4,Max4,X4,Y4,Min5,Max5,X5,Y5,Min6,Max6,X6,Y6,Min7,Max7,X7,Y7,Min8,Max8,X8,Y8,Min9,Max9,X9,Y9,Min10,Max10,X10,Y10,Min11,Max11,X11,Y11,Min12,Max12,X12,Y12
1,0,0,114.963,54.401,0,0,109.363,62.721,0,0,107.603,65.362,0,0,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,0,102.802,95.922,0,0,105.922,100.402,0,0,104.562,104.482,0,0,105.442,103.522
2,0,0,114.963,54.401,0,0,109.363,62.721,0,0,107.603,65.362,0,0,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,0,102.802,95.922,0,0,105.922,100.402,0,0,104.562,104.482,0,0,105.442,103.522
3,0,0,114.963,54.401,0,0,109.363,62.721,0,0,107.603,65.362,0,0,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,0,102.802,95.922,0,0,105.922,100.402,0,0,104.562,104.482,0,0,105.442,103.522
4,0,0,114.963,54.401,0,0,109.363,62.721,0,0,107.603,65.362,0,0,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,0,102.802,95.922,0,0,105.922,100.402,0,0,104.562,104.482,0,0,105.442,103.522
5,0,0,114.963,54.401,0,0,109.363,62.721,0,0,107.603,65.362,0,0,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,0,102.802,95.922,0,0,105.922,100.402,0,0,104.562,104.482,0,0,105.442,103.522
6,0,0,114.963,54.401,0,0,109.363,62.721,0,0,107.603,65.362,0,0,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,0,102.802,95.922,0,0,105.922,100.402,0,0,104.562,104.482,0,0,105.442,103.522
7,0,0,114.963,54.401,0,0,109.363,62.721,0,0,107.603,65.362,0,0,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,0,102.802,95.922,0,0,105.922,100.402,0,0,104.562,104.482,0,0,105.442,103.522
8,0,0,114.963,54.401,0,0,109.363,62.721,0,0,107.603,65.362,0,0,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,0,102.802,95.922,0,0,105.922,100.402,0,0,104.562,104.482,0,0,105.442,103.522
9,0,0,114.963,54.401,0,0,109.363,62.721,0,0,107.603,65.362,0,0,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,0,102.802,95.922,0,0,105.922,100.402,0,0,104.562,104.482,0,0,105.442,103.522
10,0,0,114.963,54.401,0,0,109.363,62.721,0,0,107.603,65.362,0,0,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,0,102.802,95.922,0,0,105.922,100.402,0,0,104.562,104.482,0,0,105.442,103.522
11,0,0,114.963,54.401,0,0,109.363,62.721,0,0,107.603,65.362,0,0,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,0,102.802,95.922,0,0,105.922,100.402,0,0,104.562,104.482,0,0,105.442,103.522
12,0,0,114.963,54.401,0,0,109.363,62.721,0,0,107.603,65.362,0,0,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,0,102.802,95.922,0,0,105.922,100.402,0,0,104.562,104.482,0,0,105.442,103.522
13,0,0,114.963,54.401,0,0,109.363,62.721,0,0,107.603,65.362,0,0,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,0,102.802,95.922,0,0,105.922,100.402,0,0,104.562,104.482,0,0,105.442,103.522
14,0,0,114.963,54.401,0,0,109.363,62.721,0,0,107.603,65.362,0,0,107.043,68.802,0,0,104.562,76.722,0,0,104.722,84.002,0,0,104.642,87.122,0,0,104.722,90.082,0,0,102.802,95.922,0,0,105.922,100.402,0,0,104.562,104.482,0,0,105.442,103.522
