 ,Min1,Max1,X1,Y1,Min2,Max2,X2,Y2,Min3,Max3,X3,Y3,Min4,Max4,X4,Y4,Min5,Max5,X5,Y5,Min6,Max6,X6,Y6,Min7,Max7,X7,Y7,Min8,Max8,X8,Y8,Min9,Max9,X9,Y9,Min10,Max10,X10,Y10,Min11,Max11,X11,Y11,Min12,Max12,X12,Y12,Min13,Max13,X13,Y13,Min14,Max14,X14,Y14,Min15,Max15,X15,Y15,Min16,Max16,X16,Y16,Min17,Max17,X17,Y17,Min18,Max18,X18,Y18,Min19,Max19,X19,Y19
1,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
2,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
3,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
4,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
5,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
6,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
7,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
8,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
9,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
10,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
11,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
12,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
13,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
14,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,1,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
15,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,1,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
16,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
17,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
18,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
19,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
20,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
21,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
22,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
23,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
24,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
25,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
26,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
27,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
28,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
29,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
30,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
31,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
32,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
33,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
34,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
35,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
36,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
37,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
38,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
39,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
40,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
41,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
42,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
43,0,0,1.680,18.000,0,0,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
44,0,12,1.680,18.000,0,1,1.920,19.760,0,0,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
45,1,16,1.680,18.000,0,5,1.920,19.760,0,1,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
46,0,3,1.680,18.000,0,9,1.920,19.760,0,1,3.840,18.720,0,0,6.240,22.641,0,0,7.760,28.801,0,0,9.120,30.161,0,0,11.280,34.401,0,0,12.240,34.481,0,0,13.840,36.001,0,0,12.960,37.681,0,0,13.520,39.841,0,0,23.841,51.761,0,0,29.201,65.682,0,0,9.840,32.241,0,0,11.040,32.801,0,0,21.361,52.001,0,0,26.321,56.241,0,0,28.641,58.321,0,0,30.801,68.002
