 ,Min1,Max1,X1,Y1,Min2,Max2,X2,Y2,Min3,Max3,X3,Y3,Min4,Max4,X4,Y4,Min5,Max5,X5,Y5,Min6,Max6,X6,Y6,Min7,Max7,X7,Y7
36,0,0,46.481,84.802,0,0,44.001,82.562,0,20,39.921,78.402,0,3,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,0,34.321,69.842
37,0,0,46.481,84.802,0,0,44.001,82.562,1,41,39.921,78.402,0,1,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,0,34.321,69.842
38,0,0,46.481,84.802,0,0,44.001,82.562,2,53,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,0,34.321,69.842
39,0,0,46.481,84.802,0,0,44.001,82.562,2,103,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,0,34.321,69.842
40,0,0,46.481,84.802,0,0,44.001,82.562,2,164,39.921,78.402,0,1,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,0,34.321,69.842
41,0,0,46.481,84.802,0,0,44.001,82.562,4,140,39.921,78.402,0,1,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,0,34.321,69.842
42,0,0,46.481,84.802,0,0,44.001,82.562,2,91,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,0,34.321,69.842
43,0,0,46.481,84.802,0,0,44.001,82.562,1,17,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,0,34.321,69.842
44,0,0,46.481,84.802,0,0,44.001,82.562,0,2,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,0,34.321,69.842
45,0,0,46.481,84.802,0,0,44.001,82.562,0,1,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,0,34.321,69.842
46,0,0,46.481,84.802,0,5,44.001,82.562,0,0,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,0,34.321,69.842
47,0,0,46.481,84.802,1,73,44.001,82.562,0,0,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,0,34.321,69.842
48,0,0,46.481,84.802,4,196,44.001,82.562,0,0,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,0,34.321,69.842
49,0,1,46.481,84.802,7,495,44.001,82.562,0,0,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,0,34.321,69.842
50,1,1,46.481,84.802,6,244,44.001,82.562,0,0,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,0,34.321,69.842
51,1,7,46.481,84.802,2,56,44.001,82.562,0,0,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,0,34.321,69.842
52,4,24,46.481,84.802,1,6,44.001,82.562,0,0,39.921,78.402,0,0,37.681,76.562,0,0,35.441,73.602,0,0,35.761,72.882,0,0,34.321,69.842
