 ,Min1,Max1,X1,Y1,Min2,Max2,X2,Y2,Min3,Max3,X3,Y3,Min4,Max4,X4,Y4,Min5,Max5,X5,Y5,Min6,Max6,X6,Y6,Min7,Max7,X7,Y7,Min8,Max8,X8,Y8,Min9,Max9,X9,Y9,Min10,Max10,X10,Y10,Min11,Max11,X11,Y11,Min12,Max12,X12,Y12,Min13,Max13,X13,Y13,Min14,Max14,X14,Y14,Min15,Max15,X15,Y15,Min16,Max16,X16,Y16,Min17,Max17,X17,Y17,Min18,Max18,X18,Y18,Min19,Max19,X19,Y19
1,0,0,34.721,70.802,0,0,34.321,69.522,0,0,33.041,71.522,0,0,33.521,70.962,0,0,34.481,71.522,0,0,36.241,72.562,0,0,35.441,73.922,0,0,36.961,73.682,0,0,36.801,75.362,0,0,38.561,76.802,0,0,37.681,74.962,0,0,39.361,77.282,0,0,38.561,78.162,0,0,40.241,76.882,0,0,40.721,79.122,0,0,39.601,79.522,0,0,42.161,78.642,0,0,40.401,80.002,0,0,45.361,83.122
2,0,0,34.721,70.802,0,0,34.321,69.522,0,0,33.041,71.522,0,0,33.521,70.962,0,0,34.481,71.522,0,0,36.241,72.562,0,0,35.441,73.922,0,0,36.961,73.682,0,0,36.801,75.362,0,0,38.561,76.802,0,0,37.681,74.962,0,0,39.361,77.282,0,0,38.561,78.162,0,0,40.241,76.882,0,0,40.721,79.122,0,0,39.601,79.522,0,0,42.161,78.642,0,0,40.401,80.002,0,0,45.361,83.122
3,0,0,34.721,70.802,0,0,34.321,69.522,0,0,33.041,71.522,0,0,33.521,70.962,0,0,34.481,71.522,0,0,36.241,72.562,0,0,35.441,73.922,0,0,36.961,73.682,0,0,36.801,75.362,0,0,38.561,76.802,0,0,37.681,74.962,0,0,39.361,77.282,0,0,38.561,78.162,0,0,40.241,76.882,0,0,40.721,79.122,0,0,39.601,79.522,0,0,42.161,78.642,0,0,40.401,80.002,0,0,45.361,83.122
4,0,4,34.721,70.802,0,0,34.321,69.522,0,0,33.041,71.522,0,1,33.521,70.962,0,1,34.481,71.522,0,0,36.241,72.562,0,0,35.441,73.922,0,0,36.961,73.682,0,0,36.801,75.362,0,0,38.561,76.802,0,0,37.681,74.962,0,0,39.361,77.282,0,0,38.561,78.162,0,0,40.241,76.882,0,0,40.721,79.122,0,0,39.601,79.522,0,0,42.161,78.642,0,0,40.401,80.002,0,0,45.361,83.122
5,0,119,34.721,70.802,1,2,34.321,69.522,0,1,33.041,71.522,0,2,33.521,70.962,0,2,34.481,71.522,0,1,36.241,72.562,0,0,35.441,73.922,0,0,36.961,73.682,0,0,36.801,75.362,0,0,38.561,76.802,0,0,37.681,74.962,0,0,39.361,77.282,0,0,38.561,78.162,0,0,40.241,76.882,0,0,40.721,79.122,0,0,39.601,79.522,0,0,42.161,78.642,0,0,40.401,80.002,0,0,45.361,83.122
6,0,175,34.721,70.802,1,4,34.321,69.522,0,1,33.041,71.522,0,2,33.521,70.962,0,6,34.481,71.522,0,1,36.241,72.562,0,0,35.441,73.922,0,0,36.961,73.682,0,0,36.801,75.362,0,0,38.561,76.802,0,0,37.681,74.962,0,0,39.361,77.282,0,0,38.561,78.162,0,0,40.241,76.882,0,0,40.721,79.122,0,0,39.601,79.522,0,0,42.161,78.642,0,0,40.401,80.002,0,0,45.361,83.122
7,0,73,34.721,70.802,1,7,34.321,69.522,0,2,33.041,71.522,0,3,33.521,70.962,0,21,34.481,71.522,0,1,36.241,72.562,0,0,35.441,73.922,0,0,36.961,73.682,0,0,36.801,75.362,0,0,38.561,76.802,0,0,37.681,74.962,0,0,39.361,77.282,0,0,38.561,78.162,0,0,40.241,76.882,0,0,40.721,79.122,0,0,39.601,79.522,0,0,42.161,78.642,0,0,40.401,80.002,0,0,45.361,83.122
8,1,46,34.721,70.802,2,13,34.321,69.522,0,60,33.041,71.522,1,6,33.521,70.962,0,21,34.481,71.522,0,1,36.241,72.562,0,0,35.441,73.922,0,0,36.961,73.682,0,0,36.801,75.362,0,0,38.561,76.802,0,0,37.681,74.962,0,0,39.361,77.282,0,0,38.561,78.162,0,0,40.241,76.882,0,0,40.721,79.122,0,0,39.601,79.522,0,0,42.161,78.642,0,0,40.401,80.002,0,0,45.361,83.122
9,1,11,34.721,70.802,1,7,34.321,69.522,0,61,33.041,71.522,1,19,33.521,70.962,1,10,34.481,71.522,0,1,36.241,72.562,0,0,35.441,73.922,0,0,36.961,73.682,0,0,36.801,75.362,0,0,38.561,76.802,0,0,37.681,74.962,0,0,39.361,77.282,0,0,38.561,78.162,0,0,40.241,76.882,0,0,40.721,79.122,0,0,39.601,79.522,0,0,42.161,78.642,0,0,40.401,80.002,0,0,45.361,83.122
10,1,6,34.721,70.802,1,2,34.321,69.522,0,12,33.041,71.522,1,5,33.521,70.962,1,5,34.481,71.522,0,1,36.241,72.562,0,0,35.441,73.922,0,0,36.961,73.682,0,0,36.801,75.362,0,0,38.561,76.802,0,0,37.681,74.962,0,0,39.361,77.282,0,0,38.561,78.162,0,0,40.241,76.882,0,0,40.721,79.122,0,0,39.601,79.522,0,0,42.161,78.642,0,0,40.401,80.002,0,0,45.361,83.122
