 ,Min1,Max1,X1,Y1,Min2,Max2,X2,Y2,Min3,Max3,X3,Y3,Min4,Max4,X4,Y4,Min5,Max5,X5,Y5,Min6,Max6,X6,Y6,Min7,Max7,X7,Y7,Min8,Max8,X8,Y8,Min9,Max9,X9,Y9,Min10,Max10,X10,Y10,Min11,Max11,X11,Y11,Min12,Max12,X12,Y12,Min13,Max13,X13,Y13,Min14,Max14,X14,Y14,Min15,Max15,X15,Y15
1,0,0,104.082,105.922,0,0,100.402,98.722,0,0,97.682,98.482,0,0,97.362,94.482,0,0,97.442,88.562,0,0,95.682,92.642,0,0,95.042,87.442,0,0,98.562,90.722,0,0,99.522,97.922,0,0,100.562,101.522,0,0,100.482,103.682,0,0,102.082,106.723,0,0,105.762,106.723,0,0,106.402,110.803,0,0,105.282,110.563
2,0,0,104.082,105.922,0,0,100.402,98.722,0,0,97.682,98.482,0,0,97.362,94.482,0,0,97.442,88.562,0,0,95.682,92.642,0,0,95.042,87.442,0,0,98.562,90.722,0,0,99.522,97.922,0,0,100.562,101.522,0,0,100.482,103.682,0,0,102.082,106.723,0,0,105.762,106.723,0,0,106.402,110.803,0,0,105.282,110.563
3,0,0,104.082,105.922,0,0,100.402,98.722,0,0,97.682,98.482,0,0,97.362,94.482,0,0,97.442,88.562,0,0,95.682,92.642,0,0,95.042,87.442,0,0,98.562,90.722,0,0,99.522,97.922,0,0,100.562,101.522,0,0,100.482,103.682,0,0,102.082,106.723,0,0,105.762,106.723,0,0,106.402,110.803,0,0,105.282,110.563
4,0,0,104.082,105.922,0,0,100.402,98.722,0,0,97.682,98.482,0,0,97.362,94.482,0,0,97.442,88.562,0,0,95.682,92.642,0,0,95.042,87.442,0,0,98.562,90.722,0,0,99.522,97.922,0,0,100.562,101.522,0,0,100.482,103.682,0,0,102.082,106.723,0,0,105.762,106.723,0,0,106.402,110.803,0,0,105.282,110.563
5,0,0,104.082,105.922,0,0,100.402,98.722,0,0,97.682,98.482,0,0,97.362,94.482,0,0,97.442,88.562,0,0,95.682,92.642,0,0,95.042,87.442,0,0,98.562,90.722,0,0,99.522,97.922,0,0,100.562,101.522,0,0,100.482,103.682,0,0,102.082,106.723,0,0,105.762,106.723,0,0,106.402,110.803,0,0,105.282,110.563
6,0,0,104.082,105.922,0,0,100.402,98.722,0,0,97.682,98.482,0,0,97.362,94.482,0,0,97.442,88.562,0,0,95.682,92.642,0,0,95.042,87.442,0,0,98.562,90.722,0,0,99.522,97.922,0,0,100.562,101.522,0,0,100.482,103.682,0,0,102.082,106.723,0,0,105.762,106.723,0,0,106.402,110.803,0,0,105.282,110.563
7,0,0,104.082,105.922,0,0,100.402,98.722,0,0,97.682,98.482,0,0,97.362,94.482,0,0,97.442,88.562,0,0,95.682,92.642,0,0,95.042,87.442,0,0,98.562,90.722,0,0,99.522,97.922,0,0,100.562,101.522,0,0,100.482,103.682,0,0,102.082,106.723,0,0,105.762,106.723,0,0,106.402,110.803,0,0,105.282,110.563
8,0,0,104.082,105.922,0,0,100.402,98.722,0,0,97.682,98.482,0,0,97.362,94.482,0,0,97.442,88.562,0,0,95.682,92.642,0,0,95.042,87.442,0,0,98.562,90.722,0,0,99.522,97.922,0,0,100.562,101.522,0,0,100.482,103.682,0,0,102.082,106.723,0,0,105.762,106.723,0,0,106.402,110.803,0,0,105.282,110.563
9,0,0,104.082,105.922,0,0,100.402,98.722,0,0,97.682,98.482,0,0,97.362,94.482,0,0,97.442,88.562,0,0,95.682,92.642,0,0,95.042,87.442,0,0,98.562,90.722,0,0,99.522,97.922,0,0,100.562,101.522,0,0,100.482,103.682,0,0,102.082,106.723,0,0,105.762,106.723,0,0,106.402,110.803,0,0,105.282,110.563
10,0,0,104.082,105.922,0,0,100.402,98.722,0,0,97.682,98.482,0,0,97.362,94.482,0,0,97.442,88.562,0,0,95.682,92.642,0,0,95.042,87.442,0,0,98.562,90.722,0,0,99.522,97.922,0,0,100.562,101.522,0,0,100.482,103.682,0,0,102.082,106.723,0,0,105.762,106.723,0,0,106.402,110.803,0,0,105.282,110.563
11,0,0,104.082,105.922,0,0,100.402,98.722,0,0,97.682,98.482,0,0,97.362,94.482,0,0,97.442,88.562,0,0,95.682,92.642,0,0,95.042,87.442,0,0,98.562,90.722,0,0,99.522,97.922,0,0,100.562,101.522,0,0,100.482,103.682,0,0,102.082,106.723,0,0,105.762,106.723,0,0,106.402,110.803,0,0,105.282,110.563
12,0,0,104.082,105.922,0,0,100.402,98.722,0,0,97.682,98.482,0,0,97.362,94.482,0,0,97.442,88.562,0,0,95.682,92.642,0,0,95.042,87.442,0,0,98.562,90.722,0,0,99.522,97.922,0,0,100.562,101.522,0,0,100.482,103.682,0,0,102.082,106.723,0,0,105.762,106.723,0,0,106.402,110.803,0,0,105.282,110.563
13,0,0,104.082,105.922,0,0,100.402,98.722,0,0,97.682,98.482,0,0,97.362,94.482,0,0,97.442,88.562,0,0,95.682,92.642,0,0,95.042,87.442,0,0,98.562,90.722,0,0,99.522,97.922,0,0,100.562,101.522,0,0,100.482,103.682,0,0,102.082,106.723,0,0,105.762,106.723,0,0,106.402,110.803,0,0,105.282,110.563
14,0,0,104.082,105.922,0,0,100.402,98.722,0,0,97.682,98.482,0,0,97.362,94.482,0,0,97.442,88.562,0,0,95.682,92.642,0,0,95.042,87.442,0,0,98.562,90.722,0,0,99.522,97.922,0,0,100.562,101.522,0,0,100.482,103.682,0,0,102.082,106.723,0,0,105.762,106.723,0,0,106.402,110.803,0,0,105.282,110.563
15,0,0,104.082,105.922,0,0,100.402,98.722,0,0,97.682,98.482,0,0,97.362,94.482,0,0,97.442,88.562,0,0,95.682,92.642,0,0,95.042,87.442,0,0,98.562,90.722,0,0,99.522,97.922,0,0,100.562,101.522,0,0,100.482,103.682,0,0,102.082,106.723,0,0,105.762,106.723,0,0,106.402,110.803,0,0,105.282,110.563
16,0,0,104.082,105.922,0,0,100.402,98.722,0,0,97.682,98.482,0,0,97.362,94.482,0,0,97.442,88.562,0,0,95.682,92.642,0,0,95.042,87.442,0,0,98.562,90.722,0,0,99.522,97.922,0,0,100.562,101.522,0,0,100.482,103.682,0,0,102.082,106.723,0,0,105.762,106.723,0,0,106.402,110.803,0,0,105.282,110.563
17,0,0,104.082,105.922,0,0,100.402,98.722,0,0,97.682,98.482,0,0,97.362,94.482,0,0,97.442,88.562,0,0,95.682,92.642,0,0,95.042,87.442,0,0,98.562,90.722,0,0,99.522,97.922,0,0,100.562,101.522,0,0,100.482,103.682,0,0,102.082,106.723,0,0,105.762,106.723,0,0,106.402,110.803,0,0,105.282,110.563
18,0,0,104.082,105.922,0,0,100.402,98.722,0,0,97.682,98.482,0,0,97.362,94.482,0,0,97.442,88.562,0,0,95.682,92.642,0,0,95.042,87.442,0,0,98.562,90.722,0,0,99.522,97.922,0,0,100.562,101.522,0,0,100.482,103.682,0,0,102.082,106.723,0,0,105.762,106.723,0,0,106.402,110.803,0,0,105.282,110.563
19,0,0,104.082,105.922,0,0,100.402,98.722,0,0,97.682,98.482,0,0,97.362,94.482,0,0,97.442,88.562,0,0,95.682,92.642,0,0,95.042,87.442,0,0,98.562,90.722,0,0,99.522,97.922,0,0,100.562,101.522,0,0,100.482,103.682,0,0,102.082,106.723,0,0,105.762,106.723,0,0,106.402,110.803,0,0,105.282,110.563
20,0,0,104.082,105.922,0,0,100.402,98.722,0,0,97.682,98.482,0,0,97.362,94.482,0,0,97.442,88.562,0,0,95.682,92.642,0,0,95.042,87.442,0,0,98.562,90.722,0,0,99.522,97.922,0,0,100.562,101.522,0,0,100.482,103.682,0,0,102.082,106.723,0,0,105.762,106.723,0,0,106.402,110.803,0,0,105.282,110.563
21,0,0,104.082,105.922,0,0,100.402,98.722,0,0,97.682,98.482,0,0,97.362,94.482,0,0,97.442,88.562,0,0,95.682,92.642,0,0,95.042,87.442,0,0,98.562,90.722,0,0,99.522,97.922,0,0,100.562,101.522,0,0,100.482,103.682,0,0,102.082,106.723,0,0,105.762,106.723,0,0,106.402,110.803,0,0,105.282,110.563
22,0,0,104.082,105.922,0,0,100.402,98.722,0,0,97.682,98.482,0,0,97.362,94.482,0,0,97.442,88.562,0,0,95.682,92.642,0,0,95.042,87.442,0,0,98.562,90.722,0,0,99.522,97.922,0,0,100.562,101.522,0,0,100.482,103.682,0,0,102.082,106.723,0,0,105.762,106.723,0,0,106.402,110.803,0,0,105.282,110.563
23,0,0,104.082,105.922,0,0,100.402,98.722,0,0,97.682,98.482,0,0,97.362,94.482,0,0,97.442,88.562,0,0,95.682,92.642,0,0,95.042,87.442,0,0,98.562,90.722,0,0,99.522,97.922,0,0,100.562,101.522,0,0,100.482,103.682,0,0,102.082,106.723,0,0,105.762,106.723,0,0,106.402,110.803,0,0,105.282,110.563
24,0,0,104.082,105.922,0,0,100.402,98.722,0,0,97.682,98.482,0,0,97.362,94.482,0,0,97.442,88.562,0,0,95.682,92.642,0,0,95.042,87.442,0,0,98.562,90.722,0,0,99.522,97.922,0,0,100.562,101.522,0,0,100.482,103.682,0,0,102.082,106.723,0,0,105.762,106.723,0,0,106.402,110.803,0,0,105.282,110.563
25,0,0,104.082,105.922,0,0,100.402,98.722,0,0,97.682,98.482,0,0,97.362,94.482,0,0,97.442,88.562,0,0,95.682,92.642,0,0,95.042,87.442,0,0,98.562,90.722,0,0,99.522,97.922,0,0,100.562,101.522,0,0,100.482,103.682,0,0,102.082,106.723,0,0,105.762,106.723,0,0,106.402,110.803,0,0,105.282,110.563
26,0,0,104.082,105.922,0,0,100.402,98.722,0,0,97.682,98.482,0,0,97.362,94.482,0,0,97.442,88.562,0,0,95.682,92.642,0,0,95.042,87.442,0,0,98.562,90.722,0,0,99.522,97.922,0,0,100.562,101.522,0,0,100.482,103.682,0,0,102.082,106.723,0,0,105.762,106.723,0,0,106.402,110.803,0,0,105.282,110.563
27,0,0,104.082,105.922,0,0,100.402,98.722,0,0,97.682,98.482,0,0,97.362,94.482,0,0,97.442,88.562,0,0,95.682,92.642,0,0,95.042,87.442,0,0,98.562,90.722,0,0,99.522,97.922,0,0,100.562,101.522,0,0,100.482,103.682,0,0,102.082,106.723,0,0,105.762,106.723,0,0,106.402,110.803,0,0,105.282,110.563
28,0,0,104.082,105.922,0,0,100.402,98.722,0,0,97.682,98.482,0,0,97.362,94.482,0,0,97.442,88.562,0,1,95.682,92.642,1,1,95.042,87.442,0,0,98.562,90.722,0,0,99.522,97.922,0,0,100.562,101.522,0,0,100.482,103.682,0,0,102.082,106.723,0,0,105.762,106.723,0,0,106.402,110.803,0,0,105.282,110.563
29,0,0,104.082,105.922,0,0,100.402,98.722,0,0,97.682,98.482,0,0,97.362,94.482,0,0,97.442,88.562,0,1,95.682,92.642,1,1,95.042,87.442,0,0,98.562,90.722,0,0,99.522,97.922,0,0,100.562,101.522,0,0,100.482,103.682,0,0,102.082,106.723,0,0,105.762,106.723,0,0,106.402,110.803,0,0,105.282,110.563
30,0,0,104.082,105.922,0,0,100.402,98.722,0,0,97.682,98.482,0,0,97.362,94.482,0,0,97.442,88.562,0,1,95.682,92.642,1,1,95.042,87.442,0,0,98.562,90.722,0,0,99.522,97.922,0,0,100.562,101.522,0,0,100.482,103.682,0,0,102.082,106.723,0,0,105.762,106.723,0,0,106.402,110.803,0,0,105.282,110.563
31,0,0,104.082,105.922,0,0,100.402,98.722,0,0,97.682,98.482,0,0,97.362,94.482,0,0,97.442,88.562,0,0,95.682,92.642,0,0,95.042,87.442,0,0,98.562,90.722,0,0,99.522,97.922,0,0,100.562,101.522,0,0,100.482,103.682,0,0,102.082,106.723,0,0,105.762,106.723,0,0,106.402,110.803,0,0,105.282,110.563
32,0,0,104.082,105.922,0,0,100.402,98.722,0,0,97.682,98.482,0,0,97.362,94.482,0,0,97.442,88.562,0,0,95.682,92.642,0,0,95.042,87.442,0,0,98.562,90.722,0,0,99.522,97.922,0,0,100.562,101.522,0,0,100.482,103.682,0,0,102.082,106.723,0,0,105.762,106.723,0,0,106.402,110.803,0,0,105.282,110.563
33,0,0,104.082,105.922,0,0,100.402,98.722,0,0,97.682,98.482,0,0,97.362,94.482,0,0,97.442,88.562,0,0,95.682,92.642,0,0,95.042,87.442,0,0,98.562,90.722,0,0,99.522,97.922,0,0,100.562,101.522,0,0,100.482,103.682,0,0,102.082,106.723,0,0,105.762,106.723,0,0,106.402,110.803,0,0,105.282,110.563
34,0,0,104.082,105.922,0,0,100.402,98.722,0,0,97.682,98.482,0,0,97.362,94.482,0,0,97.442,88.562,0,0,95.682,92.642,0,0,95.042,87.442,0,0,98.562,90.722,0,0,99.522,97.922,0,0,100.562,101.522,0,0,100.482,103.682,0,0,102.082,106.723,0,0,105.762,106.723,0,0,106.402,110.803,0,0,105.282,110.563
35,0,0,104.082,105.922,0,0,100.402,98.722,0,0,97.682,98.482,0,0,97.362,94.482,0,0,97.442,88.562,0,0,95.682,92.642,0,0,95.042,87.442,0,0,98.562,90.722,0,0,99.522,97.922,0,0,100.562,101.522,0,0,100.482,103.682,0,0,102.082,106.723,0,0,105.762,106.723,0,0,106.402,110.803,0,0,105.282,110.563
36,0,0,104.082,105.922,0,0,100.402,98.722,0,0,97.682,98.482,0,0,97.362,94.482,0,0,97.442,88.562,0,0,95.682,92.642,0,1,95.042,87.442,0,0,98.562,90.722,0,0,99.522,97.922,0,0,100.562,101.522,0,0,100.482,103.682,0,0,102.082,106.723,0,0,105.762,106.723,0,0,106.402,110.803,0,0,105.282,110.563
37,0,1,104.082,105.922,0,0,100.402,98.722,0,0,97.682,98.482,0,0,97.362,94.482,0,0,97.442,88.562,0,0,95.682,92.642,0,1,95.042,87.442,0,1,98.562,90.722,0,0,99.522,97.922,0,0,100.562,101.522,0,0,100.482,103.682,0,0,102.082,106.723,0,0,105.762,106.723,0,0,106.402,110.803,0,0,105.282,110.563
38,0,0,104.082,105.922,0,0,100.402,98.722,0,0,97.682,98.482,0,0,97.362,94.482,0,0,97.442,88.562,0,0,95.682,92.642,1,1,95.042,87.442,0,0,98.562,90.722,0,0,99.522,97.922,0,0,100.562,101.522,0,0,100.482,103.682,0,0,102.082,106.723,0,0,105.762,106.723,0,0,106.402,110.803,0,0,105.282,110.563
