 ,Min1,Max1,X1,Y1,Min2,Max2,X2,Y2,Min3,Max3,X3,Y3,Min4,Max4,X4,Y4,Min5,Max5,X5,Y5,Min6,Max6,X6,Y6,Min7,Max7,X7,Y7,Min8,Max8,X8,Y8,Min9,Max9,X9,Y9,Min10,Max10,X10,Y10,Min11,Max11,X11,Y11,Min12,Max12,X12,Y12,Min13,Max13,X13,Y13
20,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,12,108,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,1,3,53.761,63.681,1,3,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
21,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,11,108,56.801,56.961,0,0,55.281,60.081,0,0,54.961,62.161,0,1,53.761,63.681,1,1,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
22,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,6,58,56.801,56.961,2,9,55.281,60.081,0,0,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
23,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,2,16,56.801,56.961,46,85,55.281,60.081,1,3,54.961,62.161,0,0,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
24,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,1,5,56.801,56.961,53,126,55.281,60.081,2,37,54.961,62.161,0,1,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
25,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,1,56.801,56.961,33,103,55.281,60.081,10,133,54.961,62.161,1,2,53.761,63.681,0,0,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
26,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,6,14,55.281,60.081,22,145,54.961,62.161,1,10,53.761,63.681,0,1,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,0,47.361,84.962
27,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,1,4,55.281,60.081,13,66,54.961,62.161,3,43,53.761,63.681,1,1,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,1,47.361,84.962
28,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,2,5,54.961,62.161,19,113,53.761,63.681,2,3,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,3,47.361,84.962
29,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,0,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,1,3,54.961,62.161,15,89,53.761,63.681,3,5,52.801,65.282,0,0,47.921,79.522,0,0,47.841,82.242,0,159,47.361,84.962
30,0,0,63.281,47.681,0,0,62.001,47.681,0,0,63.922,46.161,0,1,60.321,52.001,0,0,59.201,50.881,0,0,56.801,56.961,0,0,55.281,60.081,0,1,54.961,62.161,3,16,53.761,63.681,11,79,52.801,65.282,0,0,47.921,79.522,0,2,47.841,82.242,0,710,47.361,84.962
