 ,Min1,Max1,X1,Y1,Min2,Max2,X2,Y2,Min3,Max3,X3,Y3,Min4,Max4,X4,Y4,Min5,Max5,X5,Y5,Min6,Max6,X6,Y6,Min7,Max7,X7,Y7
1,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
2,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
3,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
4,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
5,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
6,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
7,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
8,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
9,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
10,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
11,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
12,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
13,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
14,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
15,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
16,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
17,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
18,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
19,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
20,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
21,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
22,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
23,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
24,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
25,0,0,81.442,110.243,0,1,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,1,91.202,85.202,0,1,90.722,87.682,0,0,88.402,92.722
26,0,0,81.442,110.243,1,24,78.242,116.643,0,9,84.962,102.162,0,0,87.282,98.482,6,76,91.202,85.202,1,4,90.722,87.682,0,0,88.402,92.722
27,0,11,81.442,110.243,2,173,78.242,116.643,0,19,84.962,102.162,0,0,87.282,98.482,21,431,91.202,85.202,2,32,90.722,87.682,1,2,88.402,92.722
28,1,34,81.442,110.243,2,246,78.242,116.643,1,67,84.962,102.162,1,7,87.282,98.482,13,431,91.202,85.202,3,267,90.722,87.682,7,42,88.402,92.722
29,3,223,81.442,110.243,0,116,78.242,116.643,2,81,84.962,102.162,3,67,87.282,98.482,1,116,91.202,85.202,3,300,90.722,87.682,9,226,88.402,92.722
30,3,735,81.442,110.243,0,41,78.242,116.643,3,68,84.962,102.162,7,186,87.282,98.482,0,1,91.202,85.202,1,105,90.722,87.682,6,226,88.402,92.722
31,3,819,81.442,110.243,0,7,78.242,116.643,6,55,84.962,102.162,7,412,87.282,98.482,0,0,91.202,85.202,0,1,90.722,87.682,3,103,88.402,92.722
32,2,544,81.442,110.243,0,4,78.242,116.643,5,292,84.962,102.162,6,407,87.282,98.482,0,0,91.202,85.202,0,1,90.722,87.682,0,2,88.402,92.722
33,1,81,81.442,110.243,0,1,78.242,116.643,4,470,84.962,102.162,3,93,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,1,88.402,92.722
34,0,3,81.442,110.243,0,0,78.242,116.643,3,366,84.962,102.162,1,10,87.282,98.482,0,1,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
35,0,3,81.442,110.243,0,0,78.242,116.643,2,117,84.962,102.162,0,1,87.282,98.482,0,2,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
36,0,3,81.442,110.243,0,0,78.242,116.643,1,6,84.962,102.162,0,0,87.282,98.482,0,2,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
37,0,3,81.442,110.243,0,0,78.242,116.643,0,1,84.962,102.162,0,0,87.282,98.482,0,1,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
38,0,1,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
39,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
40,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
41,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
42,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
43,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
44,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
45,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
46,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
47,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
48,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
49,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
50,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
51,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
52,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
53,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
54,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
55,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
56,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
57,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
58,0,0,81.442,110.243,0,0,78.242,116.643,0,0,84.962,102.162,0,0,87.282,98.482,0,0,91.202,85.202,0,0,90.722,87.682,0,0,88.402,92.722
