 ,Min1,Max1,X1,Y1,Min2,Max2,X2,Y2,Min3,Max3,X3,Y3,Min4,Max4,X4,Y4,Min5,Max5,X5,Y5,Min6,Max6,X6,Y6,Min7,Max7,X7,Y7,Min8,Max8,X8,Y8,Min9,Max9,X9,Y9,Min10,Max10,X10,Y10,Min11,Max11,X11,Y11,Min12,Max12,X12,Y12,Min13,Max13,X13,Y13,Min14,Max14,X14,Y14,Min15,Max15,X15,Y15,Min16,Max16,X16,Y16,Min17,Max17,X17,Y17,Min18,Max18,X18,Y18,Min19,Max19,X19,Y19,Min20,Max20,X20,Y20,Min21,Max21,X21,Y21,Min22,Max22,X22,Y22,Min23,Max23,X23,Y23,Min24,Max24,X24,Y24,Min25,Max25,X25,Y25,Min26,Max26,X26,Y26,Min27,Max27,X27,Y27,Min28,Max28,X28,Y28
11,0,0,41.041,46.161,0,0,41.121,48.881,0,0,37.121,41.521,0,0,38.721,38.241,0,0,37.841,37.681,0,0,34.401,34.241,0,0,37.841,35.841,0,0,37.201,33.281,0,0,34.881,31.201,0,0,32.241,32.321,0,0,33.521,31.601,0,0,32.081,29.041,0,0,32.961,30.881,0,0,33.121,26.801,0,0,33.281,28.401,0,0,31.361,27.681,0,2,28.961,26.081,0,1,30.401,25.281,1,11,28.321,24.561,0,5,25.841,23.521,1,17,27.281,22.881,1,19,26.161,21.200,0,0,24.001,20.880,0,3,25.441,20.560,0,0,22.721,19.280,0,0,22.001,17.520,0,0,21.681,16.320,0,0,32.161,30.081
12,0,0,41.041,46.161,0,0,41.121,48.881,0,0,37.121,41.521,0,0,38.721,38.241,0,0,37.841,37.681,0,0,34.401,34.241,0,0,37.841,35.841,0,0,37.201,33.281,0,0,34.881,31.201,0,0,32.241,32.321,0,0,33.521,31.601,0,0,32.081,29.041,0,0,32.961,30.881,0,0,33.121,26.801,0,0,33.281,28.401,0,0,31.361,27.681,0,3,28.961,26.081,0,3,30.401,25.281,1,10,28.321,24.561,0,1,25.841,23.521,0,1,27.281,22.881,0,1,26.161,21.200,0,0,24.001,20.880,0,1,25.441,20.560,0,0,22.721,19.280,0,0,22.001,17.520,0,0,21.681,16.320,0,0,32.161,30.081
13,0,0,41.041,46.161,0,0,41.121,48.881,0,0,37.121,41.521,0,0,38.721,38.241,0,0,37.841,37.681,0,0,34.401,34.241,0,0,37.841,35.841,0,0,37.201,33.281,0,0,34.881,31.201,0,0,32.241,32.321,0,0,33.521,31.601,0,1,32.081,29.041,0,0,32.961,30.881,0,1,33.121,26.801,0,1,33.281,28.401,0,2,31.361,27.681,1,6,28.961,26.081,1,35,30.401,25.281,1,8,28.321,24.561,0,1,25.841,23.521,0,0,27.281,22.881,0,1,26.161,21.200,0,1,24.001,20.880,0,1,25.441,20.560,0,0,22.721,19.280,0,0,22.001,17.520,0,0,21.681,16.320,0,0,32.161,30.081
14,0,0,41.041,46.161,0,0,41.121,48.881,0,0,37.121,41.521,0,0,38.721,38.241,0,0,37.841,37.681,0,0,34.401,34.241,0,0,37.841,35.841,0,0,37.201,33.281,0,0,34.881,31.201,0,0,32.241,32.321,0,0,33.521,31.601,0,1,32.081,29.041,0,0,32.961,30.881,0,1,33.121,26.801,0,1,33.281,28.401,1,3,31.361,27.681,1,7,28.961,26.081,1,155,30.401,25.281,0,7,28.321,24.561,0,1,25.841,23.521,0,0,27.281,22.881,0,1,26.161,21.200,0,1,24.001,20.880,0,1,25.441,20.560,0,0,22.721,19.280,0,0,22.001,17.520,0,0,21.681,16.320,0,0,32.161,30.081
15,0,0,41.041,46.161,0,0,41.121,48.881,0,0,37.121,41.521,0,0,38.721,38.241,0,0,37.841,37.681,0,0,34.401,34.241,0,0,37.841,35.841,0,0,37.201,33.281,0,0,34.881,31.201,0,0,32.241,32.321,0,0,33.521,31.601,0,0,32.081,29.041,0,0,32.961,30.881,0,2,33.121,26.801,0,1,33.281,28.401,1,3,31.361,27.681,0,5,28.961,26.081,0,101,30.401,25.281,0,1,28.321,24.561,0,1,25.841,23.521,0,0,27.281,22.881,0,1,26.161,21.200,0,1,24.001,20.880,0,1,25.441,20.560,0,0,22.721,19.280,0,0,22.001,17.520,0,0,21.681,16.320,0,0,32.161,30.081
16,0,0,41.041,46.161,0,0,41.121,48.881,0,0,37.121,41.521,0,0,38.721,38.241,0,0,37.841,37.681,0,0,34.401,34.241,0,0,37.841,35.841,0,0,37.201,33.281,0,0,34.881,31.201,0,0,32.241,32.321,0,0,33.521,31.601,0,0,32.081,29.041,0,0,32.961,30.881,0,62,33.121,26.801,0,10,33.281,28.401,1,9,31.361,27.681,0,38,28.961,26.081,0,28,30.401,25.281,0,1,28.321,24.561,0,0,25.841,23.521,0,0,27.281,22.881,0,0,26.161,21.200,0,0,24.001,20.880,0,0,25.441,20.560,0,0,22.721,19.280,0,0,22.001,17.520,0,0,21.681,16.320,0,0,32.161,30.081
17,0,0,41.041,46.161,0,0,41.121,48.881,0,0,37.121,41.521,0,0,38.721,38.241,0,0,37.841,37.681,0,0,34.401,34.241,0,0,37.841,35.841,0,0,37.201,33.281,0,0,34.881,31.201,0,0,32.241,32.321,0,0,33.521,31.601,0,1,32.081,29.041,0,0,32.961,30.881,0,114,33.121,26.801,0,42,33.281,28.401,0,64,31.361,27.681,0,97,28.961,26.081,0,2,30.401,25.281,0,1,28.321,24.561,0,0,25.841,23.521,0,0,27.281,22.881,0,0,26.161,21.200,0,0,24.001,20.880,0,0,25.441,20.560,0,0,22.721,19.280,0,0,22.001,17.520,0,0,21.681,16.320,0,1,32.161,30.081
18,0,0,41.041,46.161,0,0,41.121,48.881,0,0,37.121,41.521,0,0,38.721,38.241,0,0,37.841,37.681,0,0,34.401,34.241,0,0,37.841,35.841,0,0,37.201,33.281,0,0,34.881,31.201,0,0,32.241,32.321,0,0,33.521,31.601,1,2,32.081,29.041,0,1,32.961,30.881,1,94,33.121,26.801,0,93,33.281,28.401,1,28,31.361,27.681,0,38,28.961,26.081,0,1,30.401,25.281,0,0,28.321,24.561,0,0,25.841,23.521,0,0,27.281,22.881,0,0,26.161,21.200,0,0,24.001,20.880,0,0,25.441,20.560,0,0,22.721,19.280,0,0,22.001,17.520,0,0,21.681,16.320,0,1,32.161,30.081
19,0,0,41.041,46.161,0,0,41.121,48.881,0,0,37.121,41.521,0,0,38.721,38.241,0,0,37.841,37.681,0,0,34.401,34.241,0,0,37.841,35.841,0,0,37.201,33.281,0,0,34.881,31.201,0,1,32.241,32.321,0,1,33.521,31.601,1,3,32.081,29.041,1,4,32.961,30.881,2,33,33.121,26.801,0,80,33.281,28.401,0,7,31.361,27.681,0,1,28.961,26.081,0,1,30.401,25.281,0,0,28.321,24.561,0,0,25.841,23.521,0,0,27.281,22.881,0,0,26.161,21.200,0,0,24.001,20.880,0,0,25.441,20.560,0,0,22.721,19.280,0,0,22.001,17.520,0,0,21.681,16.320,0,35,32.161,30.081
20,0,0,41.041,46.161,0,0,41.121,48.881,0,0,37.121,41.521,0,0,38.721,38.241,0,0,37.841,37.681,0,0,34.401,34.241,0,0,37.841,35.841,0,0,37.201,33.281,0,0,34.881,31.201,0,1,32.241,32.321,0,1,33.521,31.601,0,4,32.081,29.041,1,4,32.961,30.881,1,175,33.121,26.801,1,25,33.281,28.401,0,3,31.361,27.681,0,0,28.961,26.081,0,1,30.401,25.281,0,0,28.321,24.561,0,0,25.841,23.521,0,0,27.281,22.881,0,0,26.161,21.200,0,0,24.001,20.880,0,0,25.441,20.560,0,0,22.721,19.280,0,0,22.001,17.520,0,0,21.681,16.320,3,79,32.161,30.081
