 ,Min1,Max1,X1,Y1,Min2,Max2,X2,Y2,Min3,Max3,X3,Y3,Min4,Max4,X4,Y4,Min5,Max5,X5,Y5,Min6,Max6,X6,Y6,Min7,Max7,X7,Y7,Min8,Max8,X8,Y8,Min9,Max9,X9,Y9
28,0,1,23.361,20.000,0,0,22.081,17.040,1,108,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,2,33.361,30.641,2,312,38.481,42.001,0,1,35.361,34.081
29,0,0,23.361,20.000,0,0,22.081,17.040,1,138,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,1,33.361,30.641,1,127,38.481,42.001,0,6,35.361,34.081
30,0,0,23.361,20.000,0,0,22.081,17.040,2,83,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,1,17,38.481,42.001,2,10,35.361,34.081
31,0,0,23.361,20.000,0,0,22.081,17.040,1,62,26.481,23.601,0,1,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,2,38.481,42.001,6,32,35.361,34.081
32,0,0,23.361,20.000,0,0,22.081,17.040,0,3,26.481,23.601,0,1,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,13,61,35.361,34.081
33,0,0,23.361,20.000,0,0,22.081,17.040,0,1,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,11,61,35.361,34.081
34,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,3,7,35.361,34.081
35,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,2,3,35.361,34.081
36,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,2,3,35.361,34.081
37,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,1,2,35.361,34.081
38,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,1,1,35.361,34.081
39,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,1,35.361,34.081
40,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,11,38.481,42.001,0,0,35.361,34.081
41,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,57,38.481,42.001,0,0,35.361,34.081
42,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,1,174,38.481,42.001,0,0,35.361,34.081
43,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,459,38.481,42.001,0,0,35.361,34.081
44,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,4,374,38.481,42.001,0,0,35.361,34.081
45,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,3,129,38.481,42.001,0,0,35.361,34.081
46,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,2,13,38.481,42.001,0,0,35.361,34.081
47,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,3,38.481,42.001,0,0,35.361,34.081
48,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
49,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
50,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,1,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
51,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,3,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
52,0,0,23.361,20.000,0,0,22.081,17.040,0,1,26.481,23.601,1,4,30.241,25.921,0,1,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
53,0,0,23.361,20.000,0,0,22.081,17.040,0,1,26.481,23.601,1,3,30.241,25.921,0,1,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
54,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,2,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
55,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,1,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
56,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
57,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
58,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
59,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
60,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
61,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
62,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
63,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
64,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,1,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
65,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,1,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
66,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,1,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
67,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,1,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
68,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
69,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
70,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
71,0,0,23.361,20.000,0,0,22.081,17.040,0,0,26.481,23.601,0,0,30.241,25.921,0,0,31.921,27.281,0,0,32.801,29.361,0,0,33.361,30.641,0,0,38.481,42.001,0,0,35.361,34.081
