 ,Min1,Max1,X1,Y1,Min2,Max2,X2,Y2,Min3,Max3,X3,Y3,Min4,Max4,X4,Y4,Min5,Max5,X5,Y5,Min6,Max6,X6,Y6,Min7,Max7,X7,Y7,Min8,Max8,X8,Y8,Min9,Max9,X9,Y9,Min10,Max10,X10,Y10,Min11,Max11,X11,Y11
1,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,0,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,0,0,97.122,141.523,0,0,97.762,133.523
2,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,0,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,0,0,97.122,141.523,0,0,97.762,133.523
3,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,0,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,0,0,97.122,141.523,0,0,97.762,133.523
4,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,0,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,0,0,97.122,141.523,0,0,97.762,133.523
5,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,0,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,0,0,97.122,141.523,0,0,97.762,133.523
6,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,0,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,0,0,97.122,141.523,0,0,97.762,133.523
7,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,0,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,0,0,97.122,141.523,0,0,97.762,133.523
8,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,0,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,0,0,97.122,141.523,0,0,97.762,133.523
9,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,0,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,0,0,97.122,141.523,0,0,97.762,133.523
10,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,0,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,0,0,97.122,141.523,0,0,97.762,133.523
11,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,0,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,0,0,97.122,141.523,0,0,97.762,133.523
12,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,0,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,0,0,97.122,141.523,0,0,97.762,133.523
13,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,0,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,0,0,97.122,141.523,0,0,97.762,133.523
14,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,0,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,0,0,97.122,141.523,0,0,97.762,133.523
15,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,0,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,0,0,97.122,141.523,0,0,97.762,133.523
16,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,0,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,0,0,97.122,141.523,0,0,97.762,133.523
17,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,0,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,0,0,97.122,141.523,0,0,97.762,133.523
18,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,0,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,0,0,97.122,141.523,0,0,97.762,133.523
19,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,0,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,0,0,97.122,141.523,0,0,97.762,133.523
20,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,0,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,0,0,97.122,141.523,0,0,97.762,133.523
21,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,0,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,0,0,97.122,141.523,0,0,97.762,133.523
22,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,0,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,0,0,97.122,141.523,0,0,97.762,133.523
23,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,0,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,0,0,97.122,141.523,0,0,97.762,133.523
24,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,0,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,0,0,97.122,141.523,0,0,97.762,133.523
25,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,0,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,0,0,97.122,141.523,0,0,97.762,133.523
26,0,2,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,0,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,0,0,97.122,141.523,0,0,97.762,133.523
27,2,21,86.802,68.322,0,0,89.842,74.722,0,1,90.562,77.282,0,1,91.282,79.682,0,0,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,0,3,97.122,141.523,0,0,97.762,133.523
28,9,308,86.802,68.322,0,1,89.842,74.722,0,1,90.562,77.282,0,2,91.282,79.682,0,0,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,0,26,97.122,141.523,0,0,97.762,133.523
29,16,407,86.802,68.322,0,2,89.842,74.722,0,1,90.562,77.282,0,2,91.282,79.682,0,0,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,2,179,97.122,141.523,0,0,97.762,133.523
30,9,355,86.802,68.322,1,3,89.842,74.722,0,1,90.562,77.282,1,3,91.282,79.682,0,0,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,3,624,97.122,141.523,0,0,97.762,133.523
31,5,172,86.802,68.322,3,40,89.842,74.722,1,1,90.562,77.282,1,3,91.282,79.682,0,0,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,4,1151,97.122,141.523,0,0,97.762,133.523
32,3,38,86.802,68.322,4,484,89.842,74.722,1,3,90.562,77.282,1,2,91.282,79.682,0,0,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,5,1183,97.122,141.523,0,0,97.762,133.523
33,1,5,86.802,68.322,6,590,89.842,74.722,2,14,90.562,77.282,1,3,91.282,79.682,0,0,102.882,98.642,0,1,105.362,103.682,0,1,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,6,863,97.122,141.523,0,0,97.762,133.523
34,0,1,86.802,68.322,6,466,89.842,74.722,2,102,90.562,77.282,1,16,91.282,79.682,0,0,102.882,98.642,0,1,105.362,103.682,0,2,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,7,558,97.122,141.523,0,0,97.762,133.523
35,0,0,86.802,68.322,6,140,89.842,74.722,3,410,90.562,77.282,7,52,91.282,79.682,0,0,102.882,98.642,0,1,105.362,103.682,0,2,106.562,109.683,0,0,104.162,119.683,0,1,98.082,136.563,5,558,97.122,141.523,0,0,97.762,133.523
36,0,0,86.802,68.322,2,7,89.842,74.722,3,409,90.562,77.282,9,493,91.282,79.682,0,0,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,3,98.082,136.563,4,427,97.122,141.523,0,0,97.762,133.523
37,0,0,86.802,68.322,0,2,89.842,74.722,3,243,90.562,77.282,9,631,91.282,79.682,0,0,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,7,98.082,136.563,2,318,97.122,141.523,0,0,97.762,133.523
38,0,0,86.802,68.322,0,1,89.842,74.722,2,115,90.562,77.282,9,503,91.282,79.682,0,1,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,98,98.082,136.563,1,162,97.122,141.523,0,1,97.762,133.523
39,0,0,86.802,68.322,0,1,89.842,74.722,1,8,90.562,77.282,5,146,91.282,79.682,0,1,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,1,302,98.082,136.563,0,7,97.122,141.523,0,0,97.762,133.523
40,0,0,86.802,68.322,0,2,89.842,74.722,0,0,90.562,77.282,1,27,91.282,79.682,0,2,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,1,681,98.082,136.563,0,2,97.122,141.523,0,0,97.762,133.523
41,0,0,86.802,68.322,0,1,89.842,74.722,0,0,90.562,77.282,0,3,91.282,79.682,0,8,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,911,98.082,136.563,0,2,97.122,141.523,0,0,97.762,133.523
42,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,1,91.282,79.682,0,17,102.882,98.642,0,0,105.362,103.682,0,2,106.562,109.683,0,0,104.162,119.683,0,911,98.082,136.563,0,1,97.122,141.523,0,0,97.762,133.523
43,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,1,42,102.882,98.642,0,0,105.362,103.682,1,5,106.562,109.683,0,0,104.162,119.683,1,842,98.082,136.563,0,1,97.122,141.523,0,0,97.762,133.523
44,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,1,39,102.882,98.642,0,0,105.362,103.682,1,6,106.562,109.683,0,1,104.162,119.683,1,500,98.082,136.563,0,1,97.122,141.523,0,0,97.762,133.523
45,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,1,15,102.882,98.642,0,0,105.362,103.682,0,1,106.562,109.683,0,1,104.162,119.683,2,707,98.082,136.563,0,1,97.122,141.523,0,1,97.762,133.523
46,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,6,102.882,98.642,0,0,105.362,103.682,0,1,106.562,109.683,0,2,104.162,119.683,2,781,98.082,136.563,0,1,97.122,141.523,0,2,97.762,133.523
47,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,4,102.882,98.642,0,0,105.362,103.682,0,1,106.562,109.683,2,69,104.162,119.683,2,736,98.082,136.563,0,1,97.122,141.523,0,16,97.762,133.523
48,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,4,102.882,98.642,0,0,105.362,103.682,0,1,106.562,109.683,11,351,104.162,119.683,2,506,98.082,136.563,0,1,97.122,141.523,2,147,97.762,133.523
49,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,1,11,102.882,98.642,0,0,105.362,103.682,0,2,106.562,109.683,18,693,104.162,119.683,1,345,98.082,136.563,0,1,97.122,141.523,4,271,97.762,133.523
50,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,2,155,102.882,98.642,0,0,105.362,103.682,0,5,106.562,109.683,11,477,104.162,119.683,1,247,98.082,136.563,0,1,97.122,141.523,5,551,97.762,133.523
51,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,3,400,102.882,98.642,0,1,105.362,103.682,0,75,106.562,109.683,7,186,104.162,119.683,1,268,98.082,136.563,0,1,97.122,141.523,5,562,97.762,133.523
52,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,4,437,102.882,98.642,4,53,105.362,103.682,0,339,106.562,109.683,4,56,104.162,119.683,1,164,98.082,136.563,0,1,97.122,141.523,6,199,97.762,133.523
53,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,3,119,102.882,98.642,6,172,105.362,103.682,1,490,106.562,109.683,2,8,104.162,119.683,0,188,98.082,136.563,0,1,97.122,141.523,3,60,97.762,133.523
54,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,1,12,102.882,98.642,20,461,105.362,103.682,3,270,106.562,109.683,0,1,104.162,119.683,0,188,98.082,136.563,0,1,97.122,141.523,2,15,97.762,133.523
55,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,7,102.882,98.642,30,474,105.362,103.682,2,22,106.562,109.683,0,0,104.162,119.683,0,47,98.082,136.563,0,0,97.122,141.523,1,6,97.762,133.523
56,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,5,102.882,98.642,16,310,105.362,103.682,1,4,106.562,109.683,0,0,104.162,119.683,0,8,98.082,136.563,0,0,97.122,141.523,1,7,97.762,133.523
57,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,3,102.882,98.642,9,260,105.362,103.682,0,2,106.562,109.683,0,0,104.162,119.683,0,4,98.082,136.563,0,0,97.122,141.523,2,10,97.762,133.523
58,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,2,102.882,98.642,3,29,105.362,103.682,0,2,106.562,109.683,0,0,104.162,119.683,0,3,98.082,136.563,0,0,97.122,141.523,2,64,97.762,133.523
59,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,1,102.882,98.642,1,6,105.362,103.682,0,2,106.562,109.683,0,0,104.162,119.683,0,3,98.082,136.563,0,0,97.122,141.523,1,22,97.762,133.523
60,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,0,102.882,98.642,0,1,105.362,103.682,0,3,106.562,109.683,0,0,104.162,119.683,0,3,98.082,136.563,0,0,97.122,141.523,1,5,97.762,133.523
61,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,0,102.882,98.642,0,0,105.362,103.682,0,4,106.562,109.683,0,0,104.162,119.683,0,1,98.082,136.563,0,0,97.122,141.523,0,1,97.762,133.523
62,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,0,102.882,98.642,0,0,105.362,103.682,0,3,106.562,109.683,0,0,104.162,119.683,0,1,98.082,136.563,0,0,97.122,141.523,0,1,97.762,133.523
63,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,0,102.882,98.642,0,0,105.362,103.682,0,2,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,0,0,97.122,141.523,0,0,97.762,133.523
64,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,0,102.882,98.642,1,2,105.362,103.682,0,1,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,0,0,97.122,141.523,0,0,97.762,133.523
65,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,0,102.882,98.642,1,2,105.362,103.682,0,1,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,0,0,97.122,141.523,0,0,97.762,133.523
66,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,0,102.882,98.642,0,1,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,0,0,97.122,141.523,0,0,97.762,133.523
67,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,0,102.882,98.642,0,1,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,0,0,97.122,141.523,0,0,97.762,133.523
68,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,0,102.882,98.642,0,1,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,0,0,97.122,141.523,0,0,97.762,133.523
69,0,0,86.802,68.322,0,0,89.842,74.722,0,0,90.562,77.282,0,0,91.282,79.682,0,1,102.882,98.642,0,0,105.362,103.682,0,0,106.562,109.683,0,0,104.162,119.683,0,0,98.082,136.563,0,0,97.122,141.523,0,0,97.762,133.523
