 ,Min1,Max1,X1,Y1,Min2,Max2,X2,Y2,Min3,Max3,X3,Y3,Min4,Max4,X4,Y4
1,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
2,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
3,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
4,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
5,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
6,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
7,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
8,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
9,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
10,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
11,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
12,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
13,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
14,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
15,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
16,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
17,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
18,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
19,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
20,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
21,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
22,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
23,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
24,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
25,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
26,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
27,0,0,102.722,105.522,0,0,99.282,98.882,0,1,101.042,100.642,0,0,103.362,104.802
28,0,0,102.722,105.522,0,0,99.282,98.882,0,1,101.042,100.642,0,0,103.362,104.802
29,0,0,102.722,105.522,0,0,99.282,98.882,0,1,101.042,100.642,0,0,103.362,104.802
30,0,1,102.722,105.522,0,0,99.282,98.882,0,1,101.042,100.642,0,1,103.362,104.802
31,0,1,102.722,105.522,0,0,99.282,98.882,0,1,101.042,100.642,0,2,103.362,104.802
32,0,1,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,1,4,103.362,104.802
33,1,3,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,3,10,103.362,104.802
34,1,3,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,3,39,103.362,104.802
35,1,2,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,3,40,103.362,104.802
36,0,2,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,3,20,103.362,104.802
37,0,1,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,1,2,103.362,104.802
38,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,1,103.362,104.802
39,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
40,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
41,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
42,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
43,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
44,0,0,102.722,105.522,0,0,99.282,98.882,0,1,101.042,100.642,0,0,103.362,104.802
45,0,0,102.722,105.522,0,1,99.282,98.882,0,1,101.042,100.642,0,0,103.362,104.802
46,0,0,102.722,105.522,2,3,99.282,98.882,0,1,101.042,100.642,0,0,103.362,104.802
47,0,0,102.722,105.522,2,3,99.282,98.882,0,1,101.042,100.642,0,0,103.362,104.802
48,0,0,102.722,105.522,1,2,99.282,98.882,0,1,101.042,100.642,0,0,103.362,104.802
49,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
50,0,0,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,0,103.362,104.802
51,0,1,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,1,103.362,104.802
52,0,1,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,1,103.362,104.802
53,0,2,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,0,1,103.362,104.802
54,1,3,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,1,2,103.362,104.802
55,1,4,102.722,105.522,0,0,99.282,98.882,0,0,101.042,100.642,1,2,103.362,104.802
