InhTableExport[][0],InhTableExport[][1],InhTableExport[][2]
1.57929,1.23318,123
3.1189,0.845535,123
8.62183,0.741007,123
15.2381,0.417689,123
25.0668,1.00423,123
29.9518,1.53999,123
40.2622,1.73297,123
114.082,0.381295,123
109.681,1.73297,123
78.4977,1.35083,123
75.8133,0.440542,123
63.547,0.995768,123
68.1761,0.86204,123
47.9923,1.44012,123
42.7947,1.06052,123
40.7529,0.971646,123
40.2622,1.32332,123
24.5762,0.199746,123
