ExcTableExport[][0],ExcTableExport[][1],ExcTableExport[][2]
4.18773,0.905164,142
8.27543,0.584038,142
6.46909,1.02197,142
10.6121,0.980657,142
13.2629,1.31606,142
17.7879,0.821784,142
17.9514,0.587793,142
16.2607,0.777089,142
18.741,0.644507,142
19.5307,0.651643,142
22.8513,0.696338,142
21.4075,0.580282,142
24.6619,0.839812,142
25.7588,1.26235,142
24.6619,0.655023,142
26.7797,0.861221,142
29.1288,1.4062,142
30.381,0.652019,142
30.8716,0.95061,142
35.7556,0.744789,142
34.8476,0.851455,142
35.9191,1.53803,142
42.1827,1.53803,142
39.818,0.920188,142
44.5871,1.38817,142
43.8932,0.624977,142
45.8829,0.660282,142
47.8851,0.990047,142
47.3945,0.581784,142
50.2895,1.04113,142
53.2406,0.948357,142
56.2384,1.53803,142
61.0624,1.46967,142
63.4625,1.01146,142
54.2615,0.936338,142
56.8645,1.00131,142
49.9426,0.835681,142
64.5512,1.13239,142
68.6868,0.965258,142
66.0908,0.62723,142
73.0707,1.46441,142
73.9281,1.51099,142
72.095,1.33446,142
73.9281,1.53803,142
76.4408,1.53803,142
75.5355,1.53803,142
76.6043,1.24207,142
77.0949,1.53803,142
78.7377,1.10911,142
81.0615,0.738404,142
82.7522,0.631362,142
84.1283,1.53803,142
85.5398,1.53803,142
97.7749,0.680563,142
100.248,1.53803,142
103.692,1.05202,142
106.786,1.20714,142
95.0028,0.63061,142
96.2602,1.15531,142
88.4348,1.45052,142
90.5526,1.53014,142
110.896,1.53803,142
108.74,1.51812,142
113.502,0.85784,142
112.312,1.53803,142
115.597,0.957746,142
119.473,1.51887,142
120.522,1.53803,142
123.355,1.11099,142
126.037,0.579531,142
127.289,0.998685,142
129.754,1.20977,142
134.994,0.733897,142
136.357,1.45653,142
141.338,0.984038,142
139.253,0.955869,142
