ExcTableExport[][0],ExcTableExport[][1],ExcTableExport[][2]
147.946,1.39033,155.706
76.871,2.58736,155.706
44.4412,1.98513,155.706
155.465,1.9777,155.706
150.29,1.01859,155.706
144.156,0.349442,155.706
142.95,0.959108,155.706
138.052,0.877323,155.706
144.807,0.69145,155.706
140.486,0.423792,155.706
134.823,0.245353,155.706
133.277,0.513011,155.706
134.001,0.72119,155.706
129.155,0.282528,155.706
125.709,0.304833,155.706
128.915,0.453532,155.706
127.495,1.39033,155.706
127.665,0.490706,155.706
131.493,0.349442,155.706
126.264,0.877323,155.706
123.197,2.34201,155.706
122.402,0.126394,155.706
120.93,1.59851,155.706
120.449,0.475836,155.706
120.449,2.53532,155.706
116.372,0.520446,155.706
113.139,1.0632,155.706
119.217,0.379182,155.706
116.032,0.408922,155.706
108.948,0.669145,155.706
105.689,0.996283,155.706
102.912,0.446097,155.706
102.357,0.527881,155.706
104.313,0.245353,155.706
99.6786,0.959108,155.706
97.9625,0.802974,155.706
98.6874,0.237918,155.706
94.831,1.33829,155.706
96.432,0.565056,155.706
93.869,1.84387,155.706
90.7357,0.736059,155.706
87.4065,1.13755,155.706
86.515,0.64684,155.706
85.2833,0.371747,155.706
85.4533,1.42007,155.706
83.5259,0.275093,155.706
83.1858,0.520446,155.706
83.1858,0.453532,155.706
85.0428,0.498141,155.706
87.4065,0.587361,155.706
84.0069,0.475836,155.706
90.7357,0.319703,155.706
79.86,0.349442,155.706
76.6305,0.542751,155.706
73.9782,2.04461,155.706
73.3272,0.609665,155.706
72.5318,0.63197,155.706
73.3272,0.423792,155.706
70.3639,3.44238,155.706
68.9913,1.36803,155.706
67.4745,0.446097,155.706
68.196,0.951673,155.706
67.4745,0.505576,155.706
67.0639,0.862454,155.706
66.6534,0.587361,155.706
67.715,0.862454,155.706
61.0121,0.69145,155.706
59.5365,0.67658,155.706
57.9905,0.832714,155.706
55.0685,1.44238,155.706
55.0685,0.386617,155.706
54.5583,0.364312,155.706
52.2908,2.31227,155.706
51.8098,2.10409,155.706
50.9182,2.75093,155.706
50.1496,1.58364,155.706
47.8116,0.810409,155.706
46.1281,0.252788,155.706
43.4054,1.30112,155.706
42.2733,1.42007,155.706
42.6839,0.765799,155.706
41.5518,3.13011,155.706
41.0708,0.825279,155.706
40.4197,0.356877,155.706
37.8825,0.713755,155.706
36.199,1.98513,155.706
37.161,0.252788,155.706
34.8969,0.386617,155.706
34.1754,0.996283,155.706
32.8028,0.736059,155.706
28.9514,0.66171,155.706
27.505,0.148699,155.706
22.2381,1.48699,155.706
22.0681,1.7026,155.706
19.3875,3.47955,155.706
16.2026,0.840149,155.706
16.6836,2.28253,155.706
13.7684,0.527881,155.706
13.2874,0.267658,155.706
11.9853,1.5539,155.706
10.2022,0.453532,155.706
12.1554,0.788104,155.706
4.46461,1.37546,155.706
6.25113,0.327138,155.706
2.12664,1.84387,155.706
0.554834,0.289963,155.706
