ExcTableExport[][0],ExcTableExport[][1],ExcTableExport[][2]
114.617,1.56134,131.986
124.075,2.99628,131.986
124.075,2.15613,131.986
127.097,3.0632,131.986
131.986,3.13755,131.986
73.795,1.80669,131.986
56.3361,4.95167,131.986
60.8815,4.02231,131.986
76.3167,0.914498,131.986
63.8001,3.18959,131.986
58.6295,2.51301,131.986
84.1379,1.19703,131.986
81.5457,2.87732,131.986
68.2104,2.02974,131.986
52.471,1.87361,131.986
31.2506,1.19703,131.986
25.9453,4.07435,131.986
18.9239,3.56877,131.986
0.850302,1.84387,131.986
128.868,0.795539,131.986
122.984,1.04833,131.986
120.427,1.02602,131.986
118.101,3.33829,131.986
119.066,1.57621,131.986
120.427,1.39033,131.986
120.257,0.862454,131.986
116.91,0.275093,131.986
118.341,0.289963,131.986
114.787,0.750929,131.986
113.367,2.4461,131.986
111.555,0.795539,131.986
109.455,1.7026,131.986
110.904,1.0855,131.986
108.223,2.5948,131.986
106.267,0.572491,131.986
106.267,0.736059,131.986
103.925,0.63197,131.986
103.274,0.6171,131.986
101.828,0.944238,131.986
102.864,0.267658,131.986
100.356,0.907063,131.986
97.8186,1.16729,131.986
95.3261,0.765799,131.986
92.0416,3.01115,131.986
93.7543,1.03346,131.986
94.0944,2.37918,131.986
91.0504,1.07807,131.986
89.5078,2.5948,131.986
88.2761,0.981413,131.986
86.6047,0.349442,131.986
82.5661,0.304833,131.986
80.625,0.654275,131.986
76.1467,0.936803,131.986
67.3601,0.609665,131.986
69.0607,1.33829,131.986
65.249,1.44981,131.986
54.6939,1.87361,131.986
51.2102,0.944238,131.986
44.6844,0.208178,131.986
35.3363,0.981413,131.986
33.4322,0.520446,131.986
30.482,0.795539,131.986
26.2854,0.959108,131.986
28.9514,0.914498,131.986
22.1181,0.282528,131.986
17.0086,0.847584,131.986
15.8182,0.490706,131.986
13.0851,0.364312,131.986
7.75991,1.48699,131.986
2.8798,1.03346,131.986
0.680241,1.84387,131.986
