InhTableExport[][0],InhTableExport[][1],InhTableExport[][2]
5.64317,1,115
16.7136,0.995116,115
28.5124,1,115
44.4032,1,115
51.806,1,115
58.3962,0.235897,115
60.6016,0.992918,115
67.7101,0.215385,115
86.3644,1,115
104.254,1,115
109.533,1,115
