ExcTableExport[][0],ExcTableExport[][1],ExcTableExport[][2]
3.04295,1.32857,115
4.29516,1.13908,115
2.53248,1.49076,115
7.01924,1.54496,115
10.3371,0.852101,115
13.9061,1.21723,115
9.28814,0.77479,115
11.5893,0.727311,115
18.4439,0.940756,115
18.4439,0.72605,115
21.5546,1.10462,115
19.8118,1.37185,115
24.9757,0.843697,115
24.9757,1.28697,115
20.39,0.846218,115
27.2446,1.08025,115
29.7167,1.72059,115
25.0913,0.586975,115
28.3968,1.01303,115
32.4482,0.841597,115
34.0275,1.23739,115
34.6337,0.813866,115
38.0871,0.929412,115
36.2286,1.72059,115
36.9026,1.01387,115
38.7767,1.47227,115
38.8924,1.24454,115
40.2404,0.871849,115
43.4302,1.41345,115
41.1258,0.897059,115
43.4302,0.87605,115
44.2876,1.43319,115
42.2624,1.35336,115
47.3134,0.937815,115
48.4979,0.758403,115
50.8049,1.03277,115
52.8071,1.06807,115
50.6414,0.871429,115
46.9665,0.852521,115
54.1353,0.561345,115
56.3236,1.10336,115
58.9546,1.0105,115
60.0234,1.24412,115
58.3962,0.653782,115
61.8722,1.16092,115
62.6618,0.955462,115
64.7317,1.07437,115
66.1954,1.14664,115
63.6629,1.62731,115
66.7215,0.808824,115
68.1528,1.37815,115
73.448,1.12227,115
69.4206,0.764286,115
76.9971,1.21849,115
76.1117,1.16008,115
71.6895,0.747899,115
80.1515,1.09622,115
76.8336,0.809244,115
82.4963,0.844118,115
88.1072,1.56429,115
94.9108,1.40462,115
101.49,0.878571,115
98.9774,1.32899,115
89.5709,0.886555,115
83.1902,0.896218,115
84.259,0.886134,115
83.9319,0.689496,115
87.5009,0.910084,115
93.0721,1.16134,115
91.4095,0.577311,115
91.5251,0.761345,115
97.1641,0.566387,115
104.369,0.810924,115
105.255,1,115
106.276,0.737395,115
109.928,0.744118,115
114.247,1.43697,115
111.188,0.889496,115
114.594,1.07437,115
