ExcTableExport[][0],ExcTableExport[][1],ExcTableExport[][2]
4.86514,1.08204,132
7.15388,0.782423,132
23.6274,1.1685,132
30.0182,1.1685,132
28.9972,0.993294,132
24.8994,1.1685,132
22.2116,0.513625,132
20.3656,1.1685,132
8.86866,1.12798,132
10.3522,0.755315,132
13.4149,0.889713,132
17.8257,1.08689,132
17.7101,0.886574,132
18.2206,0.801826,132
37.5552,1.16679,132
39.4815,1.16393,132
14.6473,0.665145,132
14.4838,0.795834,132
0.346923,0.724497,132
43.9674,1.1685,132
40.6858,1.00043,132
26.909,1.09516,132
15.9673,1.12826,132
32.8018,0.914824,132
35.2467,0.950492,132
37.9501,0.856328,132
8.29045,1.03638,132
34.0622,0.6777,132
32.6861,1.14339,132
32.06,0.788415,132
17.0361,0.663718,132
35.5936,1.1685,132
42.4683,0.999572,132
14.6473,0.69853,132
15.2255,0.484235,132
15.5047,0.645456,132
47.0485,1.1685,132
54.0034,1.0632,132
56.2115,1.12398,132
61.611,1.07348,132
67.772,1.14424,132
77.949,1.1685,132
41.4275,0.765016,132
68.6773,1.00271,132
72.761,1.1685,132
49.9676,0.876873,132
57.6554,1.1685,132
60.0118,0.89542,132
23.3003,1.1685,132
46.5353,1.0575,132
43.0465,0.996719,132
52.7033,0.683692,132
54.6295,0.62006,132
55.0921,1.04979,132
64.8373,0.712798,132
67.3772,0.638037,132
71.5567,0.945641,132
60.0118,0.511628,132
62.8153,0.951063,132
40.2232,0.655158,132
39.3179,0.77215,132
37.9501,0.774148,132
80.0107,0.852333,132
82.1639,1.1685,132
75.2175,0.723926,132
73.734,0.731345,132
77.0238,0.725353,132
76.0905,0.773862,132
80.7003,0.822657,132
83.6077,1.1685,132
81.0274,0.656584,132
81.817,0.655728,132
88.0808,1.1685,132
87.8495,1.1685,132
88.4277,1.09145,132
89.7477,0.965901,132
96.7209,1.1685,132
91.6416,1.07376,132
92.1521,1.1685,132
94.0023,1.1685,132
99.7374,0.939934,132
104.487,1.04865,132
97.9915,1.1685,132
94.8878,0.61578,132
99.3905,1.0321,132
107.04,1.1685,132
108.723,1.1685,132
102.703,1.1685,132
108.886,1.1685,132
114.206,1.1685,132
111.626,0.609787,132
121.756,1.1685,132
127.048,1.1685,132
128.695,1.1685,132
131.862,1.1685,132
131.351,1.13283,132
117.433,0.868312,132
116.854,0.555286,132
118.868,0.581823,132
106.55,0.94079,132
