ExcTableExport[][0],ExcTableExport[][1],ExcTableExport[][2]
1.90911,1.05934,125
2.93004,1.19604,125
8.28745,1.14769,125
12.69,0.961758,125
13.6152,0.687912,125
14.7475,0.754286,125
0.490623,1.04308,125
5.5642,0.683516,125
6.25804,0.73978,125
6.83625,0.688791,125
9.32821,0.813626,125
9.90642,1.54022,125
11.2743,0.801758,125
2.93004,0.892747,125
12.3629,0.909451,125
8.40309,0.687912,125
9.21257,0.967473,125
14.8631,0.804835,125
15.3257,0.762637,125
17.0362,0.679121,125
16.8049,1.09934,125
16.458,0.598681,125
21.1596,0.766593,125
21.6502,1.00791,125
20.2345,0.982857,125
19.4927,0.986813,125
18.077,0.812308,125
18.5396,0.814945,125
20.2345,1.47736,125
22.3441,0.94989,125
25.6215,0.763077,125
25.6215,0.763077,125
22.7389,0.832088,125
22.7389,0.832088,125
23.5963,0.77011,125
24.2859,1.14637,125
24.6328,0.721319,125
28.4078,0.867692,125
31.5383,1.10242,125
26.9695,0.545055,125
27.6633,0.516923,125
30.633,0.672967,125
29.4486,1.18989,125
29.7278,1.11429,125
33.0176,0.808352,125
34.7803,1.07692,125
34.7803,1.8,125
35.9846,0.731429,125
37.2169,1.62462,125
36.7544,0.648352,125
36.1481,0.622857,125
34.4532,0.964835,125
35.821,0.772747,125
39.1233,0.680879,125
39.4504,0.803956,125
39.4504,1.15868,125
41.9307,0.978022,125
40.587,1.21846,125
42.5568,1.25802,125
44.8654,1.10989,125
46.9832,1.8,125
45.328,1.09582,125
47.6572,1.09802,125
43.7612,0.831648,125
44.9811,0.696264,125
48.299,1.17187,125
46.4926,0.825934,125
48.9251,0.623736,125
50.8669,1.01099,125
52.3816,1.72,125
53.7494,1.18374,125
52.6129,0.684396,125
55.0215,1.32527,125
53.2869,0.942418,125
59.0091,1.12967,125
61.7208,1.56176,125
57.482,0.803956,125
56.7122,0.734066,125
60.377,0.775385,125
61.2301,1.63956,125
59.6352,0.780659,125
63.9616,1.8,125
63.4355,1.76835,125
60.2134,0.694945,125
57.3184,0.522637,125
62.5104,0.650989,125
66.1301,1.8,125
68.8615,1.29802,125
67.2822,1.45363,125
66.6561,1.8,125
67.7728,1.07516,125
68.698,1.8,125
69.9981,0.864176,125
69.6512,0.865934,125
71.6806,0.738901,125
73.4152,1.7222,125
73.2995,1.8,125
73.7423,0.994286,125
71.9118,0.67956,125
72.6057,1.06813,125
77.6061,1.39473,125
74.6674,1.40879,125
76.2747,1.43736,125
78.5113,0.886154,125
78.0488,1.1178,125
79.0374,1.07956,125
73.7423,1.72879,125
77.9331,1.02901,125
77.9331,1.79077,125
75.6486,1,125
79.528,1.03033,125
73.2995,0.854945,125
79.0374,1.69275,125
83.2606,0.78022,125
84.1336,1.8,125
84.7118,0.789011,125
89.158,1.41275,125
85.9161,0.878242,125
85.6848,0.707692,125
76.8008,1.00791,125
81.3865,0.738022,125
90.8755,1.31077,125
89.2737,0.665495,125
89.2737,0.665495,125
91.3381,1.8,125
91.4537,1.7767,125
79.9906,0.795165,125
79.9906,0.795165,125
86.263,1.23121,125
87.4475,0.572747,125
86.8693,0.643077,125
93.8904,1.47692,125
93.8904,1.47692,125
93.2643,1.00396,125
93.2643,1.00396,125
94.0061,1.69055,125
94.0061,1.69055,125
95.0468,1.00264,125
95.0468,1.00264,125
96.3427,1.17978,125
96.3427,1.17978,125
96.8688,0.797802,125
96.8688,0.797802,125
97.8897,1.00527,125
97.3313,0.697582,125
97.3313,0.697582,125
97.3313,1.33626,125
97.3313,1.33626,125
100.637,1.8,125
100.637,1.8,125
97.3313,1.71956,125
97.3313,1.71956,125
98.4158,0.792967,125
98.4158,0.792967,125
98.4158,0.792967,125
101.558,1.77758,125
101.558,1.77758,125
101.558,1.77758,125
101.789,0.841319,125
101.789,0.841319,125
101.789,0.841319,125
103.316,1.30022,125
103.316,1.30022,125
103.316,1.30022,125
102.758,0.671209,125
102.758,0.671209,125
102.758,0.671209,125
106.327,1.16879,125
106.327,1.16879,125
106.327,1.16879,125
105.517,0.789451,125
105.517,0.789451,125
105.517,0.789451,125
105.517,0.789451,125
2.93004,1.19604,125
2.93004,1.19604,125
2.93004,1.19604,125
105.402,0.678242,125
105.402,0.678242,125
105.402,0.678242,125
105.402,0.678242,125
109.166,1.41582,125
109.166,1.41582,125
109.166,1.41582,125
114.29,0.858901,125
114.29,0.858901,125
114.29,0.858901,125
115.387,1.70462,125
115.387,1.70462,125
115.387,1.70462,125
116.647,0.905495,125
116.647,0.905495,125
116.647,0.905495,125
105.864,1.28659,125
105.864,1.28659,125
105.864,1.28659,125
105.864,1.28659,125
113.309,0.665934,125
113.309,0.665934,125
113.309,0.665934,125
113.309,0.665934,125
110.549,0.615385,125
110.549,0.615385,125
110.549,0.615385,125
119.419,1.1178,125
119.419,1.1178,125
119.419,1.1178,125
114.944,1.11868,125
114.944,1.11868,125
114.944,1.11868,125
117.485,1.11868,125
117.485,1.11868,125
117.485,1.11868,125
118.582,0.714725,125
118.582,0.714725,125
118.582,0.714725,125
119.91,1.77451,125
119.91,1.77451,125
119.91,1.77451,125
120.767,0.852747,125
120.767,0.852747,125
120.767,0.852747,125
116.974,1.09802,125
116.974,1.09802,125
116.974,1.09802,125
