ExcTableExport[][0],ExcTableExport[][1],ExcTableExport[][2]
12.0443,1.43332,113
16.0518,1.43332,113
10.8995,1.20861,113
28.3191,1.43332,113
20.1916,1.24606,113
22.3927,0.713686,113
1.54699,0.771789,113
6.68368,0.539727,113
9.4755,0.716486,113
15.5257,0.855093,113
17.0049,1.16766,113
21.575,0.910396,113
21.3438,0.563178,113
23.374,0.947847,113
26.4929,0.439972,113
25.0012,0.757088,113
24.0959,0.831642,113
19.0468,0.539027,113
19.8645,0.822541,113
21.3438,0.961848,113
27.2981,1.23346,113
26.1658,0.752538,113
28.666,1.06335,113
31.6775,0.787889,113
30.0421,0.840042,113
33.4005,0.723836,113
31.0233,0.554428,113
46.716,1.43332,113
45.5116,0.829191,113
51.3819,1.43332,113
45.5116,1.43332,113
38.0582,0.966048,113
39.8291,0.80224,113
43.2229,1.36052,113
50.5245,1.43332,113
34.3537,0.772839,113
33.2369,1.10221,113
37.0174,1.23766,113
35.785,0.640532,113
37.133,0.826041,113
41.6833,0.555828,113
54.3454,1.43332,113
55.2028,1.43332,113
59.7293,0.684284,113
60.9137,1.10886,113
62.7597,1.0679,113
47.3701,0.894645,113
68.5747,1.22226,113
65.0213,1.43332,113
66.062,1.43332,113
66.4569,0.830242,113
71.2329,1.43332,113
72.7445,1.43332,113
74.6707,1.43332,113
73.6696,1.43332,113
75.1134,1.32342,113
70.6547,1.20756,113
70.6547,0.775639,113
64.0202,0.761988,113
79.7274,1.43332,113
78.4075,1.25656,113
76.0385,0.843192,113
78.4075,1.0448,113
83.1255,1.41617,113
85.6382,1.29436,113
83.5203,1.43332,113
81.8651,1.43332,113
82.1443,1.43332,113
85.8694,0.672384,113
85.1756,0.846692,113
90.3363,1.40882,113
94.6821,1.19601,113
87.9195,1.08645,113
87.6403,1.08225,113
91.8082,1.03395,113
99.2761,0.788939,113
100.735,0.843192,113
89.0643,0.681134,113
91.4811,0.669583,113
112.027,1.19916,113
110.875,1.26356,113
103.794,0.863843,113
104.536,1.11621,113
103.072,0.948547,113
105.225,0.878194,113
107.78,0.615681,113
64.0202,0.905145,113
57.8708,0.506825,113
