 ,Min1,Max1,X1,Y1,Min2,Max2,X2,Y2,Min3,Max3,X3,Y3,Min4,Max4,X4,Y4,Min5,Max5,X5,Y5,Min6,Max6,X6,Y6,Min7,Max7,X7,Y7,Min8,Max8,X8,Y8,Min9,Max9,X9,Y9,Min10,Max10,X10,Y10,Min11,Max11,X11,Y11,Min12,Max12,X12,Y12,Min13,Max13,X13,Y13,Min14,Max14,X14,Y14,Min15,Max15,X15,Y15,Min16,Max16,X16,Y16,Min17,Max17,X17,Y17
1,0,0,79.602,115.843,0,0,81.602,112.243,0,0,81.762,110.083,0,0,81.762,106.643,0,0,82.482,107.923,0,0,85.122,102.002,0,0,82.962,102.562,0,0,82.482,105.122,0,0,83.362,104.882,0,0,85.842,99.602,0,0,87.602,98.882,0,0,87.522,92.722,0,0,89.522,91.282,0,0,90.882,89.442,0,0,90.962,87.602,0,0,91.442,85.442,0,0,87.042,94.162
2,0,0,79.602,115.843,0,0,81.602,112.243,0,0,81.762,110.083,0,0,81.762,106.643,0,0,82.482,107.923,0,0,85.122,102.002,0,0,82.962,102.562,0,0,82.482,105.122,0,0,83.362,104.882,0,0,85.842,99.602,0,0,87.602,98.882,0,0,87.522,92.722,0,0,89.522,91.282,0,0,90.882,89.442,0,0,90.962,87.602,0,0,91.442,85.442,0,0,87.042,94.162
3,0,0,79.602,115.843,0,0,81.602,112.243,0,0,81.762,110.083,0,0,81.762,106.643,0,0,82.482,107.923,0,0,85.122,102.002,0,0,82.962,102.562,0,0,82.482,105.122,0,0,83.362,104.882,0,0,85.842,99.602,0,0,87.602,98.882,0,0,87.522,92.722,0,0,89.522,91.282,0,0,90.882,89.442,0,0,90.962,87.602,0,0,91.442,85.442,0,0,87.042,94.162
4,0,0,79.602,115.843,0,0,81.602,112.243,0,0,81.762,110.083,0,0,81.762,106.643,0,0,82.482,107.923,0,0,85.122,102.002,0,0,82.962,102.562,0,0,82.482,105.122,0,0,83.362,104.882,0,0,85.842,99.602,0,0,87.602,98.882,0,0,87.522,92.722,0,0,89.522,91.282,0,0,90.882,89.442,0,0,90.962,87.602,0,0,91.442,85.442,0,0,87.042,94.162
5,0,0,79.602,115.843,0,0,81.602,112.243,0,0,81.762,110.083,0,0,81.762,106.643,0,0,82.482,107.923,0,0,85.122,102.002,0,0,82.962,102.562,0,0,82.482,105.122,0,0,83.362,104.882,0,0,85.842,99.602,0,0,87.602,98.882,0,0,87.522,92.722,0,0,89.522,91.282,0,0,90.882,89.442,0,0,90.962,87.602,0,0,91.442,85.442,0,0,87.042,94.162
6,0,0,79.602,115.843,0,0,81.602,112.243,0,0,81.762,110.083,0,0,81.762,106.643,0,0,82.482,107.923,0,0,85.122,102.002,0,0,82.962,102.562,0,0,82.482,105.122,0,0,83.362,104.882,0,0,85.842,99.602,0,0,87.602,98.882,0,0,87.522,92.722,0,0,89.522,91.282,0,0,90.882,89.442,0,0,90.962,87.602,0,0,91.442,85.442,0,0,87.042,94.162
7,0,0,79.602,115.843,0,0,81.602,112.243,0,0,81.762,110.083,0,0,81.762,106.643,0,0,82.482,107.923,0,0,85.122,102.002,0,0,82.962,102.562,0,0,82.482,105.122,0,0,83.362,104.882,0,0,85.842,99.602,0,0,87.602,98.882,0,0,87.522,92.722,0,0,89.522,91.282,0,0,90.882,89.442,0,0,90.962,87.602,0,0,91.442,85.442,0,0,87.042,94.162
8,0,0,79.602,115.843,0,0,81.602,112.243,0,0,81.762,110.083,0,0,81.762,106.643,0,0,82.482,107.923,0,0,85.122,102.002,0,0,82.962,102.562,0,0,82.482,105.122,0,0,83.362,104.882,0,0,85.842,99.602,0,0,87.602,98.882,0,0,87.522,92.722,0,0,89.522,91.282,0,0,90.882,89.442,0,0,90.962,87.602,0,0,91.442,85.442,0,0,87.042,94.162
9,0,0,79.602,115.843,0,0,81.602,112.243,0,0,81.762,110.083,0,0,81.762,106.643,0,0,82.482,107.923,0,0,85.122,102.002,0,0,82.962,102.562,0,0,82.482,105.122,0,0,83.362,104.882,0,0,85.842,99.602,0,0,87.602,98.882,0,0,87.522,92.722,0,0,89.522,91.282,0,0,90.882,89.442,0,0,90.962,87.602,0,0,91.442,85.442,0,0,87.042,94.162
10,0,0,79.602,115.843,0,0,81.602,112.243,0,0,81.762,110.083,0,0,81.762,106.643,0,0,82.482,107.923,0,0,85.122,102.002,0,0,82.962,102.562,0,0,82.482,105.122,0,0,83.362,104.882,0,0,85.842,99.602,0,0,87.602,98.882,0,0,87.522,92.722,0,0,89.522,91.282,0,0,90.882,89.442,0,0,90.962,87.602,0,0,91.442,85.442,0,0,87.042,94.162
11,0,0,79.602,115.843,0,0,81.602,112.243,0,0,81.762,110.083,0,0,81.762,106.643,0,0,82.482,107.923,0,0,85.122,102.002,0,0,82.962,102.562,0,0,82.482,105.122,0,0,83.362,104.882,0,0,85.842,99.602,0,0,87.602,98.882,0,0,87.522,92.722,0,0,89.522,91.282,0,0,90.882,89.442,0,0,90.962,87.602,0,0,91.442,85.442,0,0,87.042,94.162
12,0,0,79.602,115.843,0,0,81.602,112.243,0,0,81.762,110.083,0,0,81.762,106.643,0,0,82.482,107.923,0,0,85.122,102.002,0,0,82.962,102.562,0,0,82.482,105.122,0,0,83.362,104.882,0,0,85.842,99.602,0,0,87.602,98.882,0,0,87.522,92.722,0,0,89.522,91.282,0,0,90.882,89.442,0,0,90.962,87.602,0,0,91.442,85.442,0,0,87.042,94.162
13,0,0,79.602,115.843,0,0,81.602,112.243,0,0,81.762,110.083,0,0,81.762,106.643,0,0,82.482,107.923,0,0,85.122,102.002,0,0,82.962,102.562,0,0,82.482,105.122,0,0,83.362,104.882,0,0,85.842,99.602,0,0,87.602,98.882,0,0,87.522,92.722,0,0,89.522,91.282,0,0,90.882,89.442,0,0,90.962,87.602,0,0,91.442,85.442,0,0,87.042,94.162
14,0,0,79.602,115.843,0,0,81.602,112.243,0,0,81.762,110.083,0,0,81.762,106.643,0,0,82.482,107.923,0,0,85.122,102.002,0,0,82.962,102.562,0,0,82.482,105.122,0,0,83.362,104.882,0,0,85.842,99.602,0,0,87.602,98.882,0,0,87.522,92.722,0,0,89.522,91.282,0,0,90.882,89.442,0,0,90.962,87.602,0,0,91.442,85.442,0,0,87.042,94.162
